brainregion,disease,text,pubdate
Cerebral cortex,Cat-Scratch Disease,However it is not clear yet how these opposite effects can induce paroxysmal pathological activities involving neuronal networks' hyperexcitability that are specific of epilepsy (seizures) or migraine (cortical spreading depolarization CSD).,2021 Jul 27
BRAIN HIPPOCAMPUS,22q13.3 Deletion Syndrome,Shank3 deficient mice have defects in basal glutamatergic synaptic transmission in the hippocampus and in synaptic transmission plasticity including deficits in long-term potentiation and show behavioral deficits compatible with the clinical manifestations of PMS.,2021 Sep
Corpus striatum structure,cortex bone disorders,In order to process and stain the brain tissue the Nissl method was used for neuron labeling and quantification in the cortex striatum and hippocampus.,2021 Dec
Inferior Colliculus,Virus Diseases,The protocol presented here includes detailed descriptions of the intracranial virus injection surgery including stereotaxic coordinates for targeting injections to the dorsal cochlear nucleus and IC of mice and how to combine whole cell patch clamp recording with channelrhodopsin activation to investigate long-range projections to IC neurons.,2020 Feb 7
Genus Hippocampus,Neurotoxicity Syndromes,Trimethyltin chloride (TMT) is widely used as a constituent of fungicides and plastic stabilizers in the industrial and agricultural fields and is generally acknowledged to have potent neurotoxicity especially in the hippocampus
Pars Compacta,Parkinson Disease,Disruption of As-neuron crosstalk is chiefly involved in neuronal degeneration observed in Parkinson's disease (PD) the most common movement disorder characterized by the selective degeneration of dopaminergic (DAergic) cell bodies of the substantia nigra (SN) pars compacta (SNpc).,2020 Mar 12
Brain Stem,Spinal Cord Diseases,Periaqueductal gray matter neurons exhibit extensive afferent and efferent interconnectivity with suprabulbar brainstem and spinal cord zones aptly positioning these units to modulate breathing autonomic outflow nociception locomotion micturtion and sexual behavior.,2020 Oct
BRAIN HIPPOCAMPUS,Neurotoxicity Syndromes,In conclusion oxidative stress is the common mechanism responsible for DLM-induced hippocampal neurotoxicity.,2020 Aug
Structure of fissure of Sylvius,Bloom Syndrome,Thus understanding cellular mechanisms of the gRSC will provide insight regarding its precise role in memory-related processes across the lifespan.&gt
Central Lateral Nucleus,cortex bone disorders,(2020) find evidence that central lateral thalamic nucleus electrical stimulation reactivates the cortex by restoring deep-layer firing rates and modulating feedforward and feedback connectivity.,2020 Apr 8
Cerebral cortex,Functional disorder,Human cerebral organoid (hCO) models offer the opportunity to understand fundamental processes underlying human-specific cortical development and pathophysiology in an experimentally tractable system.,2020 Apr 17
Prefrontal Cortex,Recurrent disease,Methods:                    Following in utero THC exposure (2 mg/kg delivered subcutaneously) preadolescent male rat offspring were assessed for: behavioural reactivity in the open field test neutral declarative memory and aversive limbic memory in the Novel Object and Emotional Object Recognition tests immunofluorescence for NPY neurons and the PSD proteins Homer-1 1b/c and 2 in the prefrontal cortex amygdala and nucleus accumbens at adolescence (cohort 1)
Cerebral cortex,Disorders Mental,Parvalbumin-expressing (PV+) interneurons play a key role in the maturation and synchronization of cortical circuitry and alterations in these inhibitory neurons especially in the medial prefrontal cortex (mPFC) have been found in different psychiatric disorders.,2020 Jun 24
BRAIN HIPPOCAMPUS,Parkinson Disease,Connectomic approaches reveal a number of hubs in the olfactory system (anterior olfactory nucleus olfactory entorhinal cortex and cortical amygdala) that are key interconnectors with the main hubs (the entorhinal-hippocampal-cortical and amygdala-dorsal motor vagal nucleus) of network dysfunction in Alzheimer's and Parkinson's diseases.,2020 Jun 3
BRAIN HIPPOCAMPUS,Huntington Disease,We studied the gene expression levels and patterns of a number of proteins forming the cytoskeletal matrix of the presynaptic active zones in HD transgenic mice (R6/1) in hippocampal neuronal cultures overexpressing mutant huntingtin and in postmortem brain tissues of HD patients.,2020 Jun 3
BRAIN HIPPOCAMPUS,Down Syndrome,In the hippocampus of the Dp(16) mouse model of DS and DS individuals we found activated microglia as assessed by their morphology
Cerebellum,Ataxia as late effect of cerebrovascular disease,Here we report that the disruption of polyamine catabolism leads to severe cerebellar damage and ataxia demonstrating the fundamental role of polyamine catabolism in the maintenance of cerebellar function and integrity.,2020 Oct 14
BRAIN HIPPOCAMPUS,Disease Progression,Together our results reveal a developmental progression in epigenetic control mechanisms that repress the expression of the osteogenic program in hippocampal neurons at embryonic postnatal and adult stages.,2021 Apr
Tectospinal tract of medulla,Timothy syndrome,In a previous study we reported the lifetime glucose sensor iGlucoSnFR-TS (then called SweetieTS) for monitoring changes in neuronal glucose levels in response to stimulation.,2019 Aug
Cerebral hemisphere structure (body structure),Functional disorder,However the involvement of cerebral cortical dysfunctions in the origin of the symptoms is poorly understood.,2019 Sep 1
BRAIN HIPPOCAMPUS,Alzheimer's Disease,The computer simulations showed a comparison of a pathological model in which Alzheimer's disease (AD) was simulated by synaptic degradation in the hippocampus and control model (healthy) of CA3-CA1 networks with modification of weights for the memory.,2019 May 17
Tectospinal tract of medulla,Functional disorder,Dysfunctions in dopamine (DA) and serotonin (5‑HT) metabolism have been widely implicated in Tourette syndrome (TS)
Anterodorsal nucleus of thalamus,Alzheimer's Disease,APP mutations underlie familial early-onset AD and the involvement of APP in AD pathology has been extensively studied.,2019 Jun 6
BRAIN HIPPOCAMPUS,Alzheimer's Disease,Old age is a risk factor for Alzheimer's disease (AD) which is characterized by hippocampal impairment together with substantial changes in glial cell functions.,2019 Jun 6
Prefrontal Cortex,Disorders Mental,In this study epileptiform bursts were recorded from pyramidal neurons in the prefrontal cortex (the brain region thought to be involved in psychiatric disorders) using the patch-clamp technique.,2019 Aug 24
Cerebral cortex,Disease Progression,Our findings indicate lineage- and region-specific transcriptomic changes associated with selective cortical neuron damage and glial activation contributing to progression of MS lesions.,2019 Sep
Substantia nigra structure,Neurodegenerative Disorders,Parkinson's disease (PD) a common neurodegenerative disorder is characterized by selective degeneration of dopaminergic neurons in the substantia nigra.,2019 Aug
Cerebral cortex,Parkinson Disease,Dopamine deficiency which breaks this balance and leads to the domination of cortical glutamatergic inputs plays an important role in Parkinson's disease (PD).,2019 Oct
Genus Hippocampus,cortex bone disorders,Strong endothelial activation was detected from 24 h in perilesional regions including the cortex and hippocampus and peaked in intensity and diffusion at two days then partially decreased but persisted up to seven days and was back to baseline 15 days after injury.,2019 Jul 30
Reuniens Thalamic Nucleus,Autistic Disorder,Autism Res 2019 12: 1463-1471.,2019 Oct
Nucleus solitarius,Hypertensive disease,These findings demonstrate that the central GLP-1R signaling via NTS DBH neurons counteracts the development of hypertension in SHR accompanied by attenuated sympathetic nerve activity.,2019 Sep 19
BRAIN HIPPOCAMPUS,Depressive disorder,COX-2 is highly expressed in the hippocampal dentate gyrus (DG) of rat depression model and its activity is responsible for depression-like behaviors as demonstrated in two independent rat models of depression.,2019 Dec 1
Inferior Colliculus,Testicular Diseases,66.66% of ram lambs had initial testes not yet in meiosis or starting the first spermatogenic wave.,2019 Sep 26
Cerebral cortex,Pervasive Development Disorder,Yet in each disorder common and rare genetic variation converges within modules which in ASD implicates superficial cortical neurons.,2019 Oct 17
BRAIN HIPPOCAMPUS,Depressive disorder,We found the total volume and total numbers of neurons and glial cells similarly reduced by approximately 20% to 35% in depression and schizophrenia subjects relative to control subjects across all hippocampal regions.,2020 Jan 15
BRAIN HIPPOCAMPUS,Cognition Disorders,The extensively utilized herbicide Paraquat (PQ) was reported to generate cognitive disorders and hippocampal neuronal cell death after unique and extended exposure.,2020 Feb
Pontine structure,Shy-Drager Syndrome,We obtained genome-wide somatic CNV profiles from 169 cells from the substantia nigra of two MSA cases and pons and putamen of one.,2019 Dec 23
Structure of dentate gyrus,Chronic disease,Chronic DSS colitis was characterized by normal levels of neurogenesis but with deficits in the migration and integration of newborn neurons in the functional circuitry of the DG.,2021 Apr
Entire thalamic reticular nucleus,Autism Spectrum Disorders,In this study we investigated the Rt anatomy of Engrailed-2 knockout mice (En2&gt
Bundle Predorsal,Parkinson Disease,Loss of dopaminergic nigrostriatal neurons and fibrillary α-synuclein (α-syn) aggregation in Lewy bodies (LB) characterize Parkinson's disease (PD).,2020 May
Corpus striatum structure,Dyskinetic syndrome,Results:                    In vivo NADPH (1 mg/kg or 2 mg/kg) diminished KA (2.5 nmol)-induced enlargement of lesion size in striatum improved KA-induced dyskinesia and reversed KA-induced activation of glial cells.,2020 Apr 15
Cerebellar cortex structure,Disease Progression,We hypothesized that evoked potentials (EP) recorded from the cerebellar cortex can detect mild levels of neural trauma and provide a qualitative assessment tool for progression of cerebellar injury in time.,2018 Sep 11
