"brainregion","protein","count"
"Medulla Oblongata","Phenylethanolamine N-Methyltransferase","72"
"Structure of supraoptic nucleus","Argipressin","72"
"Neostriatum","N-Methylaspartate","72"
"BRAIN, HIPPOCAMPUS","protein TDP-43","71"
"Thalamic structure","Serotonin","71"
"Structure of locus ceruleus","Adrenergic Receptor","71"
"Cerebellum","Serotonin","71"
"Corpus striatum structure","Protein Subunits","71"
"Corpus striatum structure","Glutamate Decarboxylase","71"
"Cerebral cortex","Glycine","71"
"CA3 field","Proteins","71"
"Lateral habenular nucleus","Serotonin","71"
"central amygdalar nucleus","Receptor","71"
"BRAIN, HIPPOCAMPUS","Neural Cell Adhesion Molecules","71"
"Thalamic structure","Horseradish Peroxidase","71"
"Genus Hippocampus","Interleukins","71"
"Genus Hippocampus","Calmodulin Dependent Protein Kinase II","71"
"Basal Ganglia","Receptor","71"
"BRAIN, HIPPOCAMPUS","Oxidoreductase","70"
"BRAIN, HIPPOCAMPUS","Nitric Oxide Synthase Type I","70"
"BRAIN, HIPPOCAMPUS","NR1 protein, human","70"
"BRAIN, HIPPOCAMPUS","Eosine Yellowish","70"
"Substantia nigra structure","alpha-Synuclein","69"
"Medulla Oblongata","Chloramphenicol O-Acetyltransferase","69"
"BRAIN, HIPPOCAMPUS","Protein Kinases","69"
"Area striata structure","Calcium","69"
"Amygdaloid structure","Oxytocin","69"
"CA1 field","Caspase-3","69"
"BRAIN, HIPPOCAMPUS","Adrenergic Receptor","69"
"Corpus striatum structure","Somatostatin","69"
"BRAIN, HIPPOCAMPUS","Synucleins","68"
"BRAIN, HIPPOCAMPUS","Interleukin-10","68"
"Substantia nigra structure","Glial Cell Line-Derived Neurotrophic Factor","68"
"Pyramidal Cells","GABA Receptor","68"
"Structure of terminal stria nuclei of preoptic region","Corticotropin-Releasing Hormone","68"
"Ventral Tegmental Area","Dopamine D2 Receptor","68"
"Lateral geniculate complex","Chloramphenicol O-Acetyltransferase","68"
"Structure of nucleus infundibularis hypothalami","Neuropeptides","68"
"BRAIN, HIPPOCAMPUS","P53 Protein","68"
"Corpus striatum structure","Y, Neuropeptide","68"
"Neostriatum","Glutamate Decarboxylase","68"
"Central gray substance of midbrain","Serotonin","68"
"CA1 field","Genes","68"
"Lobe, Frontal","Receptor","67"
"Pyramidal Cells","Antibodies","67"
"Structure of medial preoptic nucleus","Gonadorelin","67"
"Structure of suprachiasmatic nucleus","Y, Neuropeptide","67"
"Structure of angular gyrus","Monoacylglycerol Lipases","67"
"Brain Stem","Antibodies","67"
"CA1 field","Amyloid beta-Protein Precursor","67"
"BRAIN, HIPPOCAMPUS","Erythropoietin","67"
"Cerebral cortex","Delta-Like Protein 1, human","66"
"CA2 field","Phosphotransferases","66"
"Anteroventral Periventricular Nucleus","KISS1 protein, human","66"
"Neostriatum","Nerve Growth Factors","66"
"Cerebellum","Horseradish Peroxidase","66"
"Corpus striatum structure","Cloning Vectors","66"
"Entire medulla oblongata","Tyrosine 3-Monooxygenase","66"
"BRAIN, HIPPOCAMPUS","Neuropeptides","66"
"CA3 field","Serotonin","66"
"Anterodorsal nucleus of thalamus","Secretase","66"
"Genus Hippocampus","Presynaptic Density Protein 95","66"
"Hypothalamic structure","Endorphins","65"
"BRAIN, HIPPOCAMPUS","Catalase","65"
"Gigantocellular nucleus","Proteins","65"
"Genus Hippocampus","Fibroblast Growth Factor 2","65"
"Habenula","Hemoglobin","65"
"Neocortex","Genes","65"
"BRAIN, HIPPOCAMPUS","Heat-Shock Proteins 70","65"
"Dorsal Nucleus Raphe","Autoreceptors","65"
"Ventral Tegmental Area","Brain-Derived Neurotrophic Factor","64"
"Central gray substance of midbrain","Receptor","64"
"Medulla Oblongata","INSR protein, human","64"
"Hypothalamic structure","Thyrotropin-Releasing Hormone","64"
"Hypothalamic structure","Receptor, Leptin","64"
"Thalamic structure","Transporter, Dopamine","63"
"Hypothalamic Area, Lateral","Prolactin","63"
"Ventral Tegmental Area","Neurotensin","63"
"Cerebellum","Chloramphenicol O-Acetyltransferase","63"
"BRAIN, HIPPOCAMPUS","Transforming Growth Factors","63"
"Genus Hippocampus","Glucose","63"
"Hypothalamic structure","Estrogen Receptors","63"
"Cerebellum","Peptides","63"
"Amygdaloid structure","Proteins","63"
"Structure of nucleus infundibularis hypothalami","Endorphins","63"
"Genus Hippocampus","Glutamate Decarboxylase","63"
"Neostriatum","Cloning Vectors","63"
"Cerebral hemisphere structure (body structure)","Genes","63"
"Cerebellum","myelination","63"
"Corpus striatum structure","Nerve Growth Factors","63"
"Hypothalamic structure","Receptors, Progesterone","62"
"Structure of nucleus infundibularis hypothalami","Receptor","62"
"BRAIN, HIPPOCAMPUS","Interferons","62"
"Genus Hippocampus","Nitric Oxide Synthase","62"
"Prefrontal Cortex","Protein Subunits","62"
"Genus Hippocampus","Protein Kinase C","62"
"Genus Hippocampus","1-Phosphatidylinositol 3-Kinase","62"
"Hypothalamic structure","Somatotropin-Releasing Hormone","62"
"Cerebral cortex","Synucleins","62"
"Thalamic structure","Protein Subunits","62"
"Amygdaloid structure","Genes","62"
"Structure of dentate gyrus","Neuronal Migration Protein Doublecortin","62"
"Pituitary Gland","Gonadotropins","62"
"Substantia nigra structure","Genes","62"
"Structure of nucleus infundibularis hypothalami","Somatotropin-Releasing Hormone","62"
"Pituitary Gland","Pro-Opiomelanocortin","61"
"Bundle, Predorsal","Genes","61"
"Nucleus Accumbens","Dopamine D1 Receptor","61"
"Cerebral cortex","Fibroblast Growth Factor 2","61"
"BRAIN, HIPPOCAMPUS","Oxytocin","61"
"Genus Hippocampus","tau Proteins","61"
"Gigantocellular nucleus","Receptor","61"
"Amygdaloid Nucleus, Cortical","Coenzyme A","61"
"Structure of suprachiasmatic nucleus","Serotonin","61"
"Structure of suprachiasmatic nucleus","Retinaldehyde","61"
"Cerebral cortex","INSR protein, human","61"
"Genus Hippocampus","Vascular Endothelial Growth Factor A","61"
"Structure of nucleus infundibularis hypothalami","Dynorphins","61"
"Amygdaloid structure","Parvalbumins","61"
"Cerebral cortex","Dyes","61"
"Structure of paraventricular nucleus of thalamus","Oxytocin","60"
"Brain Stem","Peptides","60"
"Cerebellum","Monoclonal Antibodies","60"
"Cerebral hemisphere structure (body structure)","Receptor","60"
"CA3 field","Calcium","60"
"Cerebral cortex","Oxidoreductase","60"
"Basal Nucleus of Meynert","Choline O-Acetyltransferase","60"
"BRAIN, HIPPOCAMPUS","Growth Factor","60"
"Cerebral cortex","Calcium-Binding Proteins","60"
"BRAIN, HIPPOCAMPUS","AMP-Activated Protein Kinases","60"
"Cerebral cortex","Monoclonal Antibodies","60"
"Hypothalamic structure","Prolactin","60"
"Midbrain structure","Factor, Transcription","60"
"Neostriatum","INSR protein, human","59"
"Visual Cortex","Microtubule-Associated Proteins","59"
"Substantia nigra structure","Dopa","59"
"Structure of nucleus infundibularis hypothalami","Growth Hormone","59"
"Nucleus Accumbens","Proto-Oncogene Proteins c-fos","59"
"Visual Cortex","Parvalbumins","59"
"Parahippocampal gyrus, anterior division (PHa)","Phytohemagglutinins","59"
"Prefrontal Cortex","Dopamine D2 Receptor","59"
"Structure of nucleus prepositus","Proteins","59"
"CA2 field","Dyes","58"
"BRAIN, HIPPOCAMPUS","VEGF protein, human","58"
"Cerebral hemisphere structure (body structure)","Gamma-Enolase","58"
"BRAIN, HIPPOCAMPUS","HDAC Inhibitor SHP-141","58"
"Lactotrophs","Prolactin","58"
"BRAIN, HIPPOCAMPUS","Binding Protein","58"
"Structure of dentate gyrus","Proteins","58"
"CA3 field","Protein Subunits","58"
"BRAIN, HIPPOCAMPUS","HMGB1 Protein","58"
"Cerebellum","GABA Receptor","58"
"Genus Hippocampus","NOS2A protein, human","58"
"Thalamic structure","Enzymes","58"
"Entire Brodmann areas 17 (striate cortex), 18 (parastriate cortex) and 19 (peristriate cortex) of occipital lobe","Microtubule-Associated Proteins","58"
"BRAIN, HIPPOCAMPUS","Curcumin","58"
"Cerebellum","Glutamate Receptor","58"
"Motor Cortex","Chloramphenicol O-Acetyltransferase","57"
"CA1 field","Glutamate Receptor","57"
"Pyramidal Cells","Chloramphenicol O-Acetyltransferase","57"
"Structure of nucleus infundibularis hypothalami","INSR protein, human","57"
"Structure of olfactory bulb","Tyrosine 3-Monooxygenase","57"
"BRAIN, HIPPOCAMPUS","Taurine","57"
"CA2 field","Glycine","57"
"Cerebral cortex","Cloning Vectors","57"
"Structure of suprachiasmatic nucleus","Neuropeptides","57"
"BRAIN, HIPPOCAMPUS","Galanin","57"
"Cerebellum","Myelin","57"
"Cerebral cortex","Glycosylation End Products, Advanced","57"
"Substantia nigra structure","Serotonin","57"
"BRAIN, HIPPOCAMPUS","Calcium Ion","57"
"Neocortex","Receptor","57"
"Genus Hippocampus","Factor, Transcription","57"
"Genus Hippocampus","Calretinin","56"
"Neostriatum","Green Fluorescent Proteins","56"
"Structure of dentate gyrus","Brain-Derived Neurotrophic Factor","56"
"Pituitary Gland","Oxytocin","56"
"Neostriatum","Antibodies","56"
"Corpus Callosum","myelination","56"
"Basal Forebrain","Parvalbumins","56"
"Cerebral cortex","Superoxide Dismutase","56"
"Cerebral cortex","Muscarinic Acetylcholine Receptor","56"
"Cerebral cortex","Nitric Oxide Synthase","56"
"Prefrontal Cortex","N-Methylaspartate","56"
"BRAIN, HIPPOCAMPUS","GTP-Binding Proteins","56"
"Superior colliculus of corpora quadrigemina","Serotonin","56"
"Cortex, Primary Motor","Chloramphenicol O-Acetyltransferase","56"
"Pyramidal Cells","APP protein, human","56"
"Structure of locus ceruleus","HCRT protein, human","56"
"Cerebellum","Glycine","56"
"BRAIN, HIPPOCAMPUS","Hypoxia Inducible Factor Family","56"
"BRAIN, HIPPOCAMPUS","HCRT Gene","55"
"Medial Dorsal Nucleus","Folic Acid","55"
"Linear nucleus","Substance P","55"
"Cerebral cortex","Protein Kinase C","55"
"Hypothalamic structure","Steroidogenic Factor 1","55"
"CA2 field","Serotonin","55"
"Genus Hippocampus","INSR protein, human","55"
"Cerebellum","Nitric Oxide Synthase","55"
"Corpus striatum structure","Green Fluorescent Proteins","55"
"Purkinje Cells","Calbindin 1","55"
"Prefrontal Cortex","HOXA10 protein, human","55"
"Hypothalamic Area, Lateral","Glucose","55"
"Substantia nigra structure","Glial Fibrillary Acidic Protein","55"
"CA2 field","Enzymes","55"
"Dorsal Nucleus Raphe","Corticotropin-Releasing Hormone","55"
"BRAIN, HIPPOCAMPUS","Calmodulin 1","55"
"Corpus striatum structure","Antibodies","54"
"Genus Hippocampus","Cloning Vectors","54"
"CA2 field","omega-Agatoxin IVA","54"
"Genus Hippocampus","Proto-Oncogene Proteins c-akt","54"
"BRAIN, HIPPOCAMPUS","Calbindin 1","54"
"Cerebral cortex","Insulin","54"
"Substantia nigra structure","Enzymes","54"
"Nucleus Accumbens","Neurotensin","54"
"Ventral Tegmental Area","Proto-Oncogene Proteins c-fos","54"
"Structure of dentate gyrus","Receptor","54"
"Hypothalamic structure","Enzymes","54"
"Midbrain structure","Glial Cell Line-Derived Neurotrophic Factor","54"
"BRAIN, HIPPOCAMPUS","Vascular Endothelial Growth Factors","54"
"Amygdaloid structure","KISS1 protein, human","54"
"Nucleus Basalis Magnocellularis","Choline O-Acetyltransferase","54"
"Nucleus Accumbens","Dopamine D2 Receptor","54"
"Basal Ganglia","HD protein, human","54"
"Lobe, Frontal","Brain-Derived Neurotrophic Factor","54"
"Cerebral cortex","Transcobalamin","54"
"Structure of angular gyrus","Enzymes","53"
"Cerebral cortex","Insulin-Like Growth Factor I","53"
"Cerebellum","Insulin-Like Growth Factor I","53"
"Medulla Oblongata","Proteins","53"
"BRAIN, HIPPOCAMPUS","Dopamine D2 Receptor","53"
"Median eminence of hypothalamus","Y, Neuropeptide","53"
"BRAIN, HIPPOCAMPUS","Calpain","53"
"Structure of nucleus infundibularis hypothalami","Insulin","53"
"Genus Hippocampus","Corticotropin-Releasing Hormone","53"
"Visual Cortex","Retinaldehyde","53"
"Pituitary Gland","Poly ADP Ribose Polymerase","53"
"Cerebral cortex","Neuropeptides","53"
"Hypothalamic Area, Lateral","Peptides","52"
"Genus Hippocampus","Growth Associated Protein 43","52"
"Pars Compacta","Proteins","52"
"BRAIN, HIPPOCAMPUS","Clusterin","52"
"BRAIN, HIPPOCAMPUS","Caffeine","52"
"Nucleus solitarius","Oxytocin","52"
"Entire Brodmann areas 17 (striate cortex), 18 (parastriate cortex) and 19 (peristriate cortex) of occipital lobe","Parvalbumins","52"
"Cerebellum","Nerve Growth Factor","52"
"Corpus striatum structure","INSR protein, human","52"
"Brain Stem","Calcium","52"
"Brain Stem","Substance P","52"
"CA1 field","Y, Neuropeptide","52"
"Purkinje Cells","Protein Kinase C","52"
"Pyramidal Cells","Vasoactive Intestinal Peptide","52"
"BRAIN, HIPPOCAMPUS","Apolipoprotein E4","52"
"Substantia nigra structure","Substance P","52"
"Cerebral hemisphere structure (body structure)","Myelin","52"
"Neostriatum","Nitric Oxide Synthase","52"
"Prefrontal Cortex","Proto-Oncogene Proteins c-fos","52"
"BRAIN, HIPPOCAMPUS","NOS1 protein, human","52"
"Nucleus solitarius","Y, Neuropeptide","52"
"BRAIN, HIPPOCAMPUS","Undecaprenyl-phosphate galactose-phosphotransferase","52"
"BRAIN, HIPPOCAMPUS","Cell Adhesion Molecules","51"
"Structure of nucleus infundibularis hypothalami","Proto-Oncogene Proteins c-fos","51"
"Area striata structure","Parvalbumins","51"
"BRAIN, HIPPOCAMPUS","Growth Hormone","51"
"Genus Hippocampus","Green Fluorescent Proteins","51"
"Cerebral cortex","Methyl-CpG-Binding Protein 2","51"
"BRAIN, HIPPOCAMPUS","DNA","51"
"Midbrain structure","Transporter, Dopamine","51"
"Genus Hippocampus","PIK3CG protein, human","51"
"BRAIN, HIPPOCAMPUS","NF-kappa B","51"
"Entire Brodmann areas 17 (striate cortex), 18 (parastriate cortex) and 19 (peristriate cortex) of occipital lobe","Retinaldehyde","51"
"BRAIN, HIPPOCAMPUS","Ion Channel","51"
"Corpus striatum structure","Neurotrophic Factor","51"
"Neostriatum","Neurotrophic Factor","51"
"Lobe, Frontal","tropomyosin-related kinase-B, human","51"
"Cerebral Peduncle","Calcium","51"
"BRAIN, HIPPOCAMPUS","Calcium Channel","51"
"Amygdaloid structure","INSR protein, human","51"
"Structure of paraventricular nucleus","Oxytocin","51"
"Genus Hippocampus","Monoclonal Antibodies","51"
"Hypothalamic Area, Lateral","Proto-Oncogene Proteins c-fos","51"
"BRAIN, HIPPOCAMPUS","Deoxyuridine","51"
"Pituitary Gland","Neuropeptides","51"
"Medulla Oblongata","Angiotensin II","51"
"BRAIN, HIPPOCAMPUS","Human Leukocyte Interferon","51"
"Cerebral cortex","Cytokine","51"
"Genus Hippocampus","PIK3CA protein, human","51"
"CA2 field","Adenosine Triphosphatases","51"
"Genus Hippocampus","Phosphoinositide-3-Kinase, Catalytic, Beta Polypeptide","51"
"Pyramidal Cells","Calbindins","50"
"Nucleus solitarius","Peptides","50"
"BRAIN, HIPPOCAMPUS","Cholinergic Receptors","50"
"BRAIN, HIPPOCAMPUS","Glycogen Synthase Kinase 3","50"
"Diagonal Band of Broca","Gonadorelin","50"
"Dorsal Nucleus Raphe","Tryptophan 5-monooxygenase","50"
"Brain Stem","Genes","50"
"Visual Cortex","Calcium","50"
"Ventral Tegmental Area","Transporter, Dopamine","50"
"Hypothalamic structure","Immune Sera","50"
"Brain Stem","Calcitonin Gene-Related Peptide","50"
"Genus Hippocampus","Cholecystokinin","50"
"BRAIN, HIPPOCAMPUS","Calmodulin","50"
"central amygdalar nucleus","Proto-Oncogene Proteins c-fos","50"
"Hypothalamic structure","Corticotropin","50"
"Purkinje Cells","Serotonin","50"
"BRAIN, HIPPOCAMPUS","Adenosine Triphosphatases","50"
"Structure of locus ceruleus","Y, Neuropeptide","50"
"Cerebral hemisphere structure (body structure)","Neurotrophic Factor","50"
"Purkinje Cells","N-Methylaspartate","49"
"Medulla Oblongata","Angiotensin-2","49"
"BRAIN, HIPPOCAMPUS","Myelin basic protein","49"
"Pituitary Gland","Y, Neuropeptide","49"
"Cerebral cortex","Corticotropin-Releasing Hormone","49"
"CA1 field","Glucose","49"
"BRAIN, HIPPOCAMPUS","Dickkopf-Related Protein 1","49"
"BRAIN, HIPPOCAMPUS","Microtubule-Associated Proteins 1A/1B Light Chain 3","49"
"Brain Stem","Protein Subunits","49"
"Median eminence of hypothalamus","KISS1 protein, human","49"
"Neostriatum","Calretinin","49"
"BRAIN, HIPPOCAMPUS","Receptor, Cannabinoid, CB1","49"
"Cerebral cortex","Calbindins","49"
"CA2 field","GTP-Binding Proteins","49"
"BRAIN, HIPPOCAMPUS","Caspase-1","49"
"Brain Stem","Corticotropin-Releasing Hormone","49"
"Brain Stem","Y, Neuropeptide","49"
"Cerebral cortex","protein TDP-43","49"
"Structure of suprachiasmatic nucleus","Proteins","49"
"Entire lateral geniculate body","Chloramphenicol O-Acetyltransferase","49"
"Cerebral cortex","Adrenergic Receptor","49"
"Medulla Oblongata","Peptides","49"
"BRAIN, HIPPOCAMPUS","gephyrin","49"
"Cerebellum","Corticotropin-Releasing Hormone","49"
"BRAIN, HIPPOCAMPUS","Interleukin-1","49"
"Hypothalamic Area, Lateral","Leptin","48"
"Prosencephalon","Protein Subunits","48"
"Anterodorsal nucleus of thalamus","Enzymes","48"
"Corpus striatum structure","Tumor Necrosis Factor-alpha","48"
"BRAIN, HIPPOCAMPUS","Gamma-Enolase","48"
"Posterior Nucleus of Thalamus","PTH protein, human","48"
"Dorsal Nucleus Raphe","Proto-Oncogene Proteins c-fos","48"
"Thalamic structure","Chloramphenicol O-Acetyltransferase","48"
"Posterior Nucleus of Thalamus","Parathyroid Hormone","48"
"BRAIN, HIPPOCAMPUS","Calcium-Binding Proteins","48"
"Corpus striatum structure","Nitric Oxide Synthase","48"
"Entire Brodmann areas 17 (striate cortex), 18 (parastriate cortex) and 19 (peristriate cortex) of occipital lobe","Calcium","48"
"CA1 field","Proto-Oncogene Proteins c-fos","48"
"BRAIN, HIPPOCAMPUS","Peroxidase, Glutathione","48"
"Medial Septal Nucleus","Choline O-Acetyltransferase","48"
"Nucleus Raphe Magnus","Serotonin","48"
"Hypothalamic structure","Interleukin-1","48"
"Cerebellum","Calbindins","47"
"Neostriatum","Cholecystokinin","47"
"Cerebral cortex","Dopamine D2 Receptor","47"
"Hypothalamic structure","Substance P","47"
"BRAIN, HIPPOCAMPUS","Neuregulin 1","47"
"Ventral Tegmental Area","Cholecystokinin","47"
"Genus Hippocampus","GABA Receptor","47"
"Cerebellum","Microtubule-Associated Proteins","47"
"Hypothalamic structure","Cholecystokinin","47"
"BRAIN, HIPPOCAMPUS","Chloramphenicol O-Acetyltransferase","47"
"BRAIN, HIPPOCAMPUS","Immunoglobulin G","47"
"Nucleus solitarius","Leptin","47"
"Cerebellum","Protein Kinase C","47"
"CA1 field","Enzymes","47"
"Substantia nigra structure","Antibodies","47"
"Structure of paraventricular nucleus of thalamus","INSR protein, human","47"
"Cerebral cortex","Proto-Oncogene Proteins c-fos","47"
"Genus Hippocampus","Myelin","46"
"Cerebral cortex","1-Phosphatidylinositol 3-Kinase","46"
"Cerebral cortex","Synaptophysin","46"
"Brain Stem","Choline O-Acetyltransferase","46"
"Structure of locus ceruleus","Proto-Oncogene Proteins c-fos","46"
"Hypothalamic structure","Metastin","46"
"BRAIN, HIPPOCAMPUS","Actins","46"
"BRAIN, HIPPOCAMPUS","Sucrose","46"
"Structure of nucleus infundibularis hypothalami","Prolactin","46"
"Structure of area postrema","Islet Amyloid Polypeptide","46"
"Pituitary Gland","Human Growth Hormone","46"
"CA2 field","Protein Kinases","46"
"lateral geniculate nucleus","Retinaldehyde","46"
"Pyramidal Cells","Cholecystokinin","46"
"Structure of area postrema","Amylin","46"
"Neostriatum","Neurotensin","46"
"Cerebellum","Factor, Transcription","46"
"Neostriatum","Acetylcholinesterase","46"
"Genus Hippocampus","Tyrosine 3-Monooxygenase","46"
"Primary Auditory Cortex","Chloramphenicol O-Acetyltransferase","46"
