brainregion,disease,mentalprocess
Purkinje Cells,Chronic Fatigue Syndrome,Pain
Purkinje Cells,Disease Progression,Pain Perception
lateral geniculate nucleus,cortex bone disorders,Pain Threshold
central amygdalar nucleus,cortex bone disorders,Panic
Pituitary Gland,Skin endocrine disorder,Panic Attacks
"BRAIN, HIPPOCAMPUS",Nail-Patella Syndrome,Panic Disorder
Pituitary Gland,Liver diseases,Paralysed
Structure of dentate gyrus,Alzheimer's Disease,Patient Visit
Purkinje Cells,Neurodegenerative Disorders,"Pattern Recognition, Visual"
Cerebral hemisphere structure (body structure),Retinal Diseases,Penile Erection
Prefrontal Cortex,Bipolar Disorder,Perception
Optic tract structure,Retinal Diseases,Perceptual disturbance
Medulla Oblongata,Renal glomerular disease,Performance
Brodmann area 18,cortex bone disorders,"Period, Critical (Psychology)"
Cerebral cortex,Motor Neuron Disease,Periodontal Diseases
Internal capsule anterior limb structure,Aicardi's syndrome,Peripheral vision
Prefrontal Cortex,Major Depressive Disorder,Perseveration
Trigeminal Nuclei,Migraine Disorders,Persistence
Auditory Hair Cell,Sensorineural hearing loss (disorder),Personal priorities
"Bundle, Predorsal",Neurotoxicity Syndromes,Personal Satisfaction
Midbrain structure,Movement Disorders,Pessimistic
Structure of rubrospinal tract,Spinal Cord Diseases,Phantom limb syndrome
Pulvinar structure,cortex bone disorders,Physical abuse
CA3 field,Marfan Syndrome,Physical activity
Telencephalon,Pituitary Diseases,Physical addiction
Cerebral hemisphere structure (body structure),Arteriopathic disease,Physical aggression
Genus Hippocampus,neuropathology disease,Physical Contact
Substantia nigra structure,Van der Woude syndrome,Physiologic pseudocyesis
Midbrain structure,Neurotoxicity Syndromes,Physiologic Thermoregulation
Triangular Septal Nucleus,Down Syndrome,Physiological Stress
Cerebral cortex,Obsessive-Compulsive Disorder,Pica Disease
Limbic System,cortex bone disorders,Pitch Perception
Genus Hippocampus,Mild cognitive disorder,Play
Tectospinal tract of medulla,Down Syndrome,pleasurable emotion
Inferior olivary nucleus,Spinal Cord Diseases,Polydipsia
Nucleus Accumbens,Functional disorder,Poor concentration
Midbrain structure,Retinal Diseases,popularity
Brain Stem,Motor Neuron Disease,Post-anoxic coma
"BRAIN, HIPPOCAMPUS",Sweet Syndrome,Postoperative confusion
Purkinje Cells,Syndrome,Powers (Psychology)
Corpus Callosum,DISORDERS OF THE OPTIC NERVE,Practices (Psychology)
Gyrus Cinguli,cortex bone disorders,Predatory Behavior
Cerebellum,Parkinson Disease,Preference
CA1 field,Disease Progression,Prepuberty
Pyramidal Cells,Autistic Disorder,prepulse inhibition activity
Gyrus Cinguli,Ataxia as late effect of cerebrovascular disease,Presbycusis
Habenula,Depressive disorder,Preschool
Cerebral cortex,Liver diseases,Preventive monitoring
Cerebellum,"Hamartoma Syndrome, Multiple",Proactive Inhibition
Structure of terminal stria nuclei of preoptic region,cortex bone disorders,Probability Learning
Anterodorsal nucleus of thalamus,Huntington Disease,Problem Solving
Parahippocampal Gyrus,cortex bone disorders,proboscis extension reflex
Genus Hippocampus,Hypertensive disease,Projection Defense Mechanism
Structure of trigeminal nerve spinal tract nucleus,Spinal Cord Diseases,Protective Factors
Structure of nucleus prepositus,"Creutzfeldt-Jakob Disease, Sporadic",Psychological habituation
Genus Hippocampus,Fetal Alcohol Syndrome,Psychological inhibition
Cerebellar cortex structure,Spinal Cord Diseases,psychological orientation
Genus Hippocampus,Bipolar Disorder,Psychological suppression
Structure of dentate gyrus,Functional disorder,Psychological Transfer
Motor Cortex,Motor Neuron Disease,psychomotor behavior
Cerebellum,Down Syndrome,Psychotic depression
Brain Stem,Disease Progression,Puberty
Anterodorsal nucleus of thalamus,Mesulam Syndrome,Rage
Marginal Sulcus,cortex bone disorders,Reaching
Diagonal Band of Broca,cortex bone disorders,Reaction Time
Brain Stem,Hypertensive disease,Reading
Hypothalamic structure,Ovarian Diseases,Reasoning
Nucleus Accumbens,Spinal Cord Diseases,Recent memory
Substantia nigra structure,Hypopigmentation disorder,Recognition (Psychology)
Pars Compacta,Parkinsonian Disorders,Reduced concentration
Motor Cortex,Parkinson Disease,Reduced concentration span
"Lobe, Frontal",Parkinson Disease,"Reflex, Acoustic"
Hypothalamic structure,Alzheimer's Disease,Regression - mental defense mechanism
External capsule,cortex bone disorders,Regular exercise (observable entity)
"BRAIN, HIPPOCAMPUS",Sensitization (disorder),Rejections (Psychology)
"Hypothalamic Area, Lateral",cortex bone disorders,Relative Risk
Cerebral hemisphere structure (body structure),Syndrome,Relaxation
"BRAIN, HIPPOCAMPUS",Prune Belly Syndrome,relearning
Midbrain structure,Parkinsonian Disorders,Reluctance
Midbrain structure,Disease Progression,Repetitious behavior
"Cortex, Primary Motor",Disease Progression,"Repression, Psychology"
Medulla Oblongata,Parkinson Disease,Reproduction
Brain Stem,Diseases of inner ear,Reproductive Behavior
Basal Nucleus of Meynert,Parkinson Disease,Resistance to change
Cerebellum,DISORDERS OF THE OPTIC NERVE,Resistance Training
Dorsal Nucleus Raphe,Functional disorder,Response to stimulus physiology
Hypoglossal nerve nucleus,Spinal Cord Diseases,Resting state
Purkinje Cells,Neurotoxicity Syndromes,Retentions (Psychology)
Prefrontal Cortex,"Stress Disorders, Traumatic",Retrieval of memory
Pituitary Gland,Spinal Cord Diseases,Reversal Learning
Structure of superior temporal sulcus,cortex bone disorders,Risk Assessment
Nucleus Raphe Magnus,Spinal Cord Diseases,Risk-Taking
"Cortex, Primary Motor",Motor Neuron Disease,Running
Anteroventral Thalamic Nucleus,Alzheimer's Disease,Sad mood
Pyramidal Tracts,Spinal Cord Diseases,salt intake
Cerebral hemisphere structure (body structure),Migraine Disorders,Seasonal Affective Disorder
Genus Hippocampus,Huntington Disease,Sedentary lifestyle
Brain Stem,Retinal Diseases,Seizures
CA1 field,Neurotoxicity Syndromes,Selective inattention
Entire lateral geniculate body,DISORDERS OF THE OPTIC NERVE,Self Esteem
Motor Cortex,Functional disorder,Self Mutilation
Central gray substance of midbrain,cortex bone disorders,Self Stimulation
Anterodorsal nucleus of thalamus,Down Syndrome,Self-care interventions
Pars Compacta,cortex bone disorders,Self-confidence
Structure of angular gyrus,Nail-Patella Syndrome,Self-control as a personality trait
"Lobe, Frontal",Syndrome,Self-harm
Structure of pars intermedia of pituitary gland,Pituitary Diseases,Self-Injurious Behavior
Brain Stem,Disorder nervous system,Sensory Deprivation
Entire medulla oblongata,Sudden infant death syndrome,sensory discrimination
Nucleus solitarius,Esophageal Diseases,Sensory Feedback
Cerebral cortex,Creutzfeldt-Jakob disease,Sensory Gating
Genus Hippocampus,Psychotic Disorders,Sensory Integration
Vestibular nucleus structure,Spinal Cord Diseases,Sensory Process
Corpus Callosum,Bipolar Disorder,Separation anxiety
Trigeminal Nuclei,Spinal Cord Diseases,Sets (Psychology)
Structure of nucleus prepositus,Neurotoxicity Syndromes,Severe cognitive impairment
Cerebellar vermis structure,cortex bone disorders,Severe mental retardation (I.Q. 20-34)
Prefrontal Cortex,Recurrent disease,Sex Behavior
Structure of subiculum hippocampi,Alzheimer's Disease,Sexism
Cerebral cortex,Attention deficit hyperactivity disorder,Sexual abuse
Cerebral hemisphere structure (body structure),Liver diseases,Sexual Dysfunction
Dorsal Nucleus Raphe,Spinal Cord Diseases,"Sexual excitation, function"
Caudate nucleus structure,Alzheimer's Disease,Sexual function
Brain Stem,Liver diseases,Sexual Orientation
Internal arcuate tract,Depressive disorder,Sexual Partners
Anterodorsal nucleus of thalamus,Syndrome,Sexuality
Preoptic Areas,cortex bone disorders,sharing
Purkinje Cells,"Syndrome, Bloch-Sulzberger",short-term and long-term memory
Thalamic structure,Depressive disorder,Sleep
Cerebral hemisphere structure (body structure),Neurodevelopmental disorder,Sleep behavior finding
Inferior Colliculus,Spinal Cord Diseases,Sleep Deprivation
"BRAIN, HIPPOCAMPUS",Sequela of disorder,smell perception
Parietal Lobe,Alzheimer's Disease,Smokeless Tobacco
Corpus striatum structure,Tic disorder,Smoker
Temporal Lobe,Functional disorder,Smoking
Parahippocampal Gyrus,Alzheimer's Disease,Smoking Behavior
Basal Ganglia,Disorder nervous system,Soccer
Corpus striatum structure,neuropathology disease,Social Adjustment
Basal Ganglia,Dyskinetic syndrome,social avoidance
Lateral ventricle structure,cortex bone disorders,Social Behavior
sensory cortex,cortex bone disorders,Social Cognition
intercalated amygdalar nuclei,Depressive disorder,social competition
Corpus Callosum,Alzheimer's Disease,Social disinhibition
Substantia Nigra Pars Reticulata,Parkinson Disease,Social Distance
Cerebrum,cortex bone disorders,Social Dominance
Cerebral cortex,Williams Syndrome,Social Facilitation
Substantia nigra structure,Huntington Disease,Social fear
Thalamic structure,Alzheimer's Disease,Social Interaction
Cerebral hemisphere structure (body structure),Depressive disorder,Social interaction skills
Basal Ganglia,Obsessive-Compulsive Disorder,Social isolation
Parabrachial Nucleus,Spinal Cord Diseases,Social Perception
Pyramidal Cells,Down Syndrome,Social Role
Dorsal Nucleus Raphe,Mood Disorders,Social Skills
Caudal pontine reticular nucleus,Junctional premature complex (disorder),Social status
Cerebellar Nuclei,Spinal Cord Diseases,Social Stigmas
Structure of reticular formation of medulla oblongata,Spinal Cord Diseases,social stress
"BRAIN, HIPPOCAMPUS",Gardner Syndrome,Social withdrawal
Gyrus Cinguli,Fragile X Syndrome,Socializing
"BRAIN, HIPPOCAMPUS",Fetal Alcohol Spectrum Disorders,Somatic delusion disorder
Medial geniculate body,cortex bone disorders,Somnolence
Purkinje Cells,Conjunctival Diseases,Sound Localization
Prosencephalon,Autism Spectrum Disorders,Space Perception
Orbitofrontal cortex,Obsessive-Compulsive Disorder,Spatial Behavior
Structure of paraventricular nucleus,cortex bone disorders,Spatial disorientation
Corpus striatum structure,"Disorders, Mental",Spatial Memory
"BRAIN, HIPPOCAMPUS",Anxiety Disorders,Spatial Navigation
Inferior Colliculus,Liver diseases,Spatial Processing
"Bundle, Predorsal",Mild cognitive disorder,Spatial Visualization
"Cortex, Primary Motor",Parkinsonian Disorders,Speaking
Prefrontal Cortex,Psychotic Disorders,Speech
Medial Dorsal Nucleus,Menkes Kinky Hair Syndrome,Speech and language disorder
Nucleus solitarius,cortex bone disorders,Speech Discrimination
Hypothalamic structure,Uterine Diseases,Speech Disorders
Genus Hippocampus,Post-Traumatic Stress Disorder,Speech Perception
Tectum Mesencephali,Spinal Cord Diseases,Speech reception threshold
Structure of subthalamic nucleus,Parkinsonian Disorders,Sports
Linear nucleus,cortex bone disorders,Steady
Anterodorsal nucleus of thalamus,Depressive disorder,Stereotyped Behavior
"BRAIN, HIPPOCAMPUS",Timothy syndrome,Stereotypic Movement Disorder
Structure of nucleus infundibularis hypothalami,Functional disorder,Strenuous Exercise
Amygdaloid structure,Mood Disorders,Stress
Basal Ganglia,Tic disorder,"Stress, Psychological"
Neostriatum,"Disorders, Mental",Substance Abuse Problems
Cerebral cortex,Major Depressive Disorder,Success
Corpus striatum structure,Sensitization (disorder),Suck finding
Medial Dorsal Nucleus,Mild cognitive disorder,Suicidal
Premotor cortex,cortex bone disorders,Suicidal behavior
CA2 field,Neurodegenerative Disorders,Suicide
Neostriatum,neuropathology disease,Suicide attempt
Genus Hippocampus,Mood Disorders,Suspicion
Cerebral cortex,"Syndrome, Bloch-Sulzberger",Sustained attention
basolateral nucleus of the amygdala,"Hamartoma Syndrome, Multiple",sweet taste perception
"BRAIN, HIPPOCAMPUS",Gilles de la Tourette syndrome,Swimming
Hindbrain,cortex bone disorders,swimming behavior
"BRAIN, HIPPOCAMPUS",Virus Diseases,Symptoms of stress
Genus Hippocampus,Marfan Syndrome,Taste bitter
Neostriatum,Tic disorder,Taste Disorders
"Bundle, Predorsal",Parkinsonian Disorders,taste perception
Globus Pallidus,Functional disorder,Telemetry
Basal Forebrain,Disease Progression,Telling untruths
Amygdaloid structure,Autistic Disorder,Temper tantrum
Basal Ganglia,Gilles de la Tourette syndrome,Temperamental
Prefrontal Cortex,Autism Spectrum Disorders,Tension
Genus Hippocampus,Brain Diseases,Texture Perception
Basal Forebrain,Parkinson Disease,Theory of Mind
Cerebellum,Fetal Alcohol Syndrome,Thermal threshold
Parietal Lobe,Functional disorder,"Thinking, function"
Basal Nucleus of Meynert,Functional disorder,Thirst
Basal Ganglia,Disease Progression,Threshold of hearing
Cerebral cortex,Vasodilation disorder,Tic disorder
Orbitofrontal cortex,Recurrent disease,Time Perception
Pedunculopontine Tegmental Nucleus,Functional disorder,Tinnitus
Occipital lobe,Alzheimer's Disease,Tobacco smoking behavior
CA2 field,Functional disorder,Tobacco use
"BRAIN, HIPPOCAMPUS",Hodgkin Disease,Tobacco Use Cessation
Anterior Nuclear Group,cortex bone disorders,Tobacco Use Disorder
Corpus striatum structure,Obsessive-Compulsive Disorder,Tobacco user
Cerebral hemisphere structure (body structure),neuropathology disease,Tolerance to alcohol
association cortex,cortex bone disorders,Toothbrushing
Cerebral cortex,Gilles de la Tourette syndrome,Touch Perception
Occipital lobe,Spinal Cord Diseases,Touch sensation
Pyramidal Cells,Disease Progression,Tracking
Medial longitudinal fasciculus,Spinal Cord Diseases,Transsexual (finding)
Structure of capsule of red nucleus,"Hamartoma Syndrome, Multiple",Travel
CA1 field,"Syndrome, Bloch-Sulzberger",Tremor
Inferior Colliculus,Pituitary Diseases,Trichotillomania
Cerebral Ventricles,cortex bone disorders,Trust
Presubiculum,cortex bone disorders,turning behavior
Purkinje Cells,"Hamartoma Syndrome, Multiple",Unable to balance
Temporal Lobe,Syndrome,Uncertainty
Prefrontal Cortex,Mood Disorders,Underage Drinking
Ventral Striatum,Alzheimer's Disease,Unipolar Depression
Cerebral hemisphere structure (body structure),Brain Diseases,unresponsive behavior
"Nuclei, Raphe",cortex bone disorders,Verbal impairment
Temporal Lobe,Mild cognitive disorder,Verbal memory observable
Globus Pallidus,Dystonia Disorders,Verbal repetition
Hypothalamic structure,Polycystic Ovary Syndrome,Verbally abusive behavior
Cerebral hemisphere structure (body structure),Hypertensive disease,Vertigo
Pyramidal Cells,Neurotoxicity Syndromes,Victim of abuse (finding)
Temporal Lobe,Parkinson Disease,Violence
Cerebellum,Parkinsonian Disorders,Virgin
Internal arcuate tract,Spinal Cord Diseases,Vision
Brain Stem,Pervasive Development Disorder,Vision Disorders
Telencephalon,Retinal Diseases,Vision Disparity
Prosencephalon,Depressive disorder,"Vision, Binocular"
CA2 field,Spinal Cord Diseases,"Vision, Monocular"
Thalamic structure,Parkinsonian Disorders,Visit
Brodmann area 21,cortex bone disorders,Visual accommodation
Hypothalamic structure,Thyroid Diseases,Visual Acuity
Amygdaloid structure,Williams Syndrome,Visual attention
Superior colliculus of corpora quadrigemina,Leigh Disease,Visual behavior
Pretectal region,Retinal Diseases,visual contrast
Primary Auditory Cortex,cortex bone disorders,visual deprivation
Structure of paraventricular nucleus,Spinal Cord Diseases,Visual Discrimination
intercalated amygdalar nuclei,Spinal Cord Diseases,Visual Fields
Red nucleus structure,cortex bone disorders,Visual learning
Structure of paraventricular nucleus of thalamus,Depressive disorder,Visual memory
Structure of suprachiasmatic nucleus,DISORDERS OF THE OPTIC NERVE,Visual Perception
Structure of rubrospinal tract,Depressive disorder,Visual Suppression
Ventral Tegmental Area,"Hamartoma Syndrome, Multiple",Visuospatial Ability
"Hypothalamic Area, Lateral",Spinal Cord Diseases,vocal learning
Prosencephalon,Retinal Diseases,Vocalization (finding)
Basal Ganglia,Syndrome,Voice
Neocortex,Functional disorder,Voice Disorders
Neocortex,Retinal Diseases,Wakefulness
Anterodorsal nucleus of thalamus,Disorder nervous system,Walking
Structure of locus ceruleus,"Disorders, Mental",Wandering Behavior
Temporal Lobe,Depressive disorder,War
Basal Forebrain,neuropathology disease,Water Consumption
Amygdaloid structure,"Hamartoma Syndrome, Multiple",Weaning
Prosencephalon,Pituitary Diseases,Withdrawal
Dorsal Septal Nucleus,Down Syndrome,Worried
Genus Hippocampus,"Hamartoma Syndrome, Multiple",
Pyramidal Tracts,cortex bone disorders,
Structure of suprachiasmatic nucleus,Disorder of pineal gland,
