"brainregion","disease","gene","count"
"Anterodorsal nucleus of thalamus","Alzheimer's Disease","NFIC Gene","9"
"Pituitary Gland","Pituitary Diseases","Long Interspersed Element","9"
"Neostriatum","Van der Woude syndrome","IRF6 wt Allele","9"
"Marginal Sulcus","Depressive disorder","MTR Gene","9"
"Anterodorsal nucleus of thalamus","Neurodegenerative Disorders","MAPT wt Allele","9"
"Structure of superior temporal sulcus","Gilles de la Tourette syndrome","Sequence Tagged Sites","9"
"Paracentral Thalamic Nucleus","Depressive disorder","PROC wt Allele","9"
"Pituitary Gland","Pituitary Diseases","SST Gene","9"
"Posterior cerebral commissure","Depressive disorder","PODXL wt Allele","9"
"Entire lateral geniculate body","Retinal Diseases","Chloramphenicol O-Acetyltransferase","9"
"Posterior cerebral commissure","Sweet Syndrome","KRT17 wt Allele","9"
"Genus Hippocampus","cortex bone disorders","SQSTM1 wt Allele","9"
"Caudal pontine reticular nucleus","Junctional premature complex (disorder)","GNAI1 Gene","9"
"Entire lateral geniculate body","Retinal Diseases","Chloramphenicol Acetyl Transferase Gene","9"
"Cerebral cortex","Pervasive Development Disorder","Genes","9"
"Genus Hippocampus","cortex bone disorders","KHDRBS1 wt Allele","9"
"Cerebral cortex","Functional disorder","FASTK Gene","9"
"Posterior cerebral commissure","Sweet Syndrome","PODXL wt Allele","9"
"Hypothalamic structure","Pituitary Diseases","KISS1 Gene","9"
"Medial Septal Nucleus","Alzheimer's Disease","MTR Gene","9"
"Posterior cerebral commissure","Depressive disorder","KRT17 wt Allele","9"
"Interpeduncular nucleus","Syndrome, Bloch-Sulzberger","Wild Type","9"
"Marginal Sulcus","Alzheimer's Disease","MTR Gene","9"
"Anterodorsal nucleus of thalamus","Alzheimer's Disease","NFIC wt Allele","9"
"Genus Hippocampus","cortex bone disorders","Heterozygote","9"
"Structure of superior temporal sulcus","Gilles de la Tourette syndrome","STS gene","9"
"Genus Hippocampus","cortex bone disorders","Long Interspersed Element","9"
"Paracentral Thalamic Nucleus","Depressive disorder","PODXL Gene","9"
"Posterior cerebral commissure","Sweet Syndrome","PODXL Gene","9"
"Medial Septal Nucleus","Alzheimer's Disease","MTR wt Allele","9"
"Posterior cerebral commissure","Depressive disorder","PROC Gene","9"
"BRAIN, HIPPOCAMPUS","cortex bone disorders","Heterozygote","9"
"Anterodorsal nucleus of thalamus","Alzheimer's Disease","RANGAP1 wt Allele","9"
"Gigantocellular nucleus","Junctional premature complex (disorder)","GNAI1 Gene","9"
"Pituitary Gland","Pituitary Diseases","HCRT Gene","9"
"Cerebellum","cortex bone disorders","Wild Type","9"
"Cerebellum","Syndrome, Bloch-Sulzberger","SDHB wt Allele","9"
"Bundle, Predorsal","Alzheimer's Disease","HTT wt Allele","9"
"Hypothalamic Area, Lateral","Polycystic Ovary Syndrome","PLOD1 gene","9"
"Genus Hippocampus","cortex bone disorders","SQSTM1 Gene","9"
"Caudal pontine reticular nucleus","Junctional premature complex (disorder)","GNAI1 wt Allele","9"
"Paracentral Thalamic Nucleus","Huntington Disease","PODXL wt Allele","8"
"Brain Stem","Spinal Cord Diseases","Genes","8"
"Posterior cerebral commissure","Huntington Disease","PROC wt Allele","8"
"Pyramidal Cells","cortex bone disorders","CAT Gene","8"
"CA1 field","Van der Woude syndrome","IRF6 wt Allele","8"
"Neostriatum","Parkinson Disease","TH gene","8"
"Posterior cerebral commissure","Huntington Disease","PODXL wt Allele","8"
"Central Dorsal Nucleus","Hamartoma Syndrome, Multiple","Genes","8"
"Pyramidal Cells","cortex bone disorders","Chloramphenicol Acetyl Transferase Gene","8"
"Genus Hippocampus","cortex bone disorders","BDNF Gene","8"
"Neostriatum","Functional disorder","HTT gene","8"
"BRAIN, HIPPOCAMPUS","cortex bone disorders","FASTK Gene","8"
"Entire Brodmann areas 17 (striate cortex), 18 (parastriate cortex) and 19 (peristriate cortex) of occipital lobe","cortex bone disorders","Chloramphenicol O-Acetyltransferase","8"
"Entire Brodmann areas 17 (striate cortex), 18 (parastriate cortex) and 19 (peristriate cortex) of occipital lobe","cortex bone disorders","CAT Gene","8"
"Structure of nucleus prepositus","Creutzfeldt-Jakob disease","ABCB6 wt Allele","8"
"Caudate nucleus structure","Hamartoma Syndrome, Multiple","Genes","8"
"Cerebellum","cortex bone disorders","AKT1S1 wt Allele","8"
"Structure of central sulcus","Hamartoma Syndrome, Multiple","ATP8A2 wt Allele","8"
"Bundle, Predorsal","Alzheimer's Disease","MAPT wt Allele","8"
"Cerebral cortex","cortex bone disorders","MAPT wt Allele","8"
"Nucleus Accumbens","Pituitary Diseases","AKT1S1 wt Allele","8"
"Marginal Sulcus","Clinically isolated syndrome","MTR Gene","8"
"Corticotroph","Pituitary Diseases","CRH Gene","8"
"Anterodorsal nucleus of thalamus","Alzheimer's Disease","SET Gene","8"
"Gonadotrophs","Pituitary Diseases","GNRH1 Gene","8"
"Structure of central sulcus","Hamartoma Syndrome, Multiple","Wild Type","8"
"Genus Hippocampus","cortex bone disorders","FASTK Gene","8"
"Anterodorsal nucleus of thalamus","Alzheimer's Disease","SYP Gene","8"
"Interpeduncular nucleus","Syndrome, Bloch-Sulzberger","PRRT2 wt Allele","8"
"Genus Hippocampus","cortex bone disorders","INS gene","8"
"Visual Cortex","cortex bone disorders","CAT Gene","8"
"Structure of nucleus prepositus","Creutzfeldt-Jakob disease","PRNP gene","8"
"Structure of nucleus prepositus","Creutzfeldt-Jakob disease","PRNP wt Allele","8"
"Cerebral hemisphere structure (body structure)","Alzheimer's Disease","MAPT wt Allele","8"
"Visual Cortex","cortex bone disorders","Chloramphenicol O-Acetyltransferase","8"
"Paracentral Thalamic Nucleus","Huntington Disease","KRT17 wt Allele","8"
"Posterior cerebral commissure","Huntington Disease","PODXL Gene","8"
"Structure of limitans nucleus","Huntington Disease","HTT wt Allele","8"
"Marginal Sulcus","Clinically isolated syndrome","MTR wt Allele","8"
"Cerebral cortex","Functional disorder","Genes","8"
"Structure of rubrospinal tract","Syndrome","PITX2 wt Allele","8"
"Anterodorsal nucleus of thalamus","Alzheimer's Disease","CREB1 Gene","8"
"Anterodorsal nucleus of thalamus","Alzheimer's Disease","Transgenes","8"
"Bundle, Predorsal","Parkinson Disease","MAPT wt Allele","8"
"Corpus striatum structure","Functional disorder","HTT gene","8"
"Genus Hippocampus","Gardner Syndrome","APC wt Allele","8"
"Hypothalamic structure","Pituitary Diseases","POMC Gene","8"
"Structure of olfactory bulb","Renal glomerular disease","TH gene","8"
"Genus Hippocampus","Alzheimer's Disease","PSEN1 gene","8"
"Medial Septal Nucleus","Clinically isolated syndrome","MTR Gene","8"
"Anterodorsal nucleus of thalamus","Functional disorder","MAPT wt Allele","8"
"Cerebral cortex","Feline urological syndrome","FUS Gene","8"
"Structure of rubrospinal tract","Functional disorder","PITX2 wt Allele","8"
"Anterodorsal nucleus of thalamus","Alzheimer's Disease","MAP Kinase Gene","8"
"BRAIN, HIPPOCAMPUS","Depressive disorder","Genes","8"
"Paracentral Thalamic Nucleus","Huntington Disease","PROC Gene","8"
"Interpeduncular nucleus","Syndrome, Bloch-Sulzberger","c-fos Genes","8"
"Medial Septal Nucleus","Clinically isolated syndrome","MTR wt Allele","8"
"Pyramidal Cells","cortex bone disorders","FASTK Gene","8"
"Posterior cerebral commissure","Huntington Disease","PROC Gene","8"
"Paracentral Thalamic Nucleus","Huntington Disease","PODXL Gene","8"
"Pituitary Gland","Pituitary Diseases","NPY Gene","8"
"BRAIN, HIPPOCAMPUS","cortex bone disorders","GRIN2B wt Allele","8"
"Cerebral cortex","Alzheimer's Disease","PSEN1 gene","8"
"Entire Brodmann areas 17 (striate cortex), 18 (parastriate cortex) and 19 (peristriate cortex) of occipital lobe","cortex bone disorders","Chloramphenicol Acetyl Transferase Gene","8"
"Visual Cortex","cortex bone disorders","Chloramphenicol Acetyl Transferase Gene","8"
"Paracentral Thalamic Nucleus","Huntington Disease","PROC wt Allele","8"
"BRAIN, HIPPOCAMPUS","Feline urological syndrome","FUS Gene","8"
"Pyramidal Cells","cortex bone disorders","Chloramphenicol O-Acetyltransferase","8"
"Posterior cerebral commissure","Huntington Disease","KRT17 wt Allele","8"
"Anterodorsal nucleus of thalamus","Alzheimer's Disease","APOE*4 Allele","8"
"Structure of nucleus infundibularis hypothalami","Pituitary Diseases","POMC Gene","8"
"Amygdaloid structure","cortex bone disorders","c-fos Genes","8"
"BRAIN, HIPPOCAMPUS","Disease Progression","MAPT wt Allele","8"
"Anterodorsal nucleus of thalamus","Alzheimer's Disease","MAPT gene","8"
"Thalamic structure","cortex bone disorders","PCYT1A wt Allele","8"
"Preoptic Areas","Pituitary Diseases","GNRH1 Gene","8"
"Genus Hippocampus","Mucocutaneous Lymph Node Syndrome","AR wt Allele","8"
"Hypothalamic structure","Pituitary Diseases","Genes","8"
"BRAIN, HIPPOCAMPUS","CADASIL Syndrome","NOTCH3 wt Allele","8"
"BRAIN, HIPPOCAMPUS","cortex bone disorders","INS gene","8"
"Genus Hippocampus","cortex bone disorders","GRIN2B wt Allele","8"
"Genus Hippocampus","Depressive disorder","CD69 wt Allele","8"
"Anterodorsal nucleus of thalamus","Alzheimer's Disease","CREB1 wt Allele","8"
"Interpeduncular nucleus","Syndrome, Bloch-Sulzberger","OXT Gene","7"
"Posterior cerebral commissure","Chronic Fatigue Syndrome","PROC Gene","7"
"Paracentral Thalamic Nucleus","Chronic Fatigue Syndrome","PODXL wt Allele","7"
"Anterodorsal nucleus of thalamus","Alzheimer's Disease","PPARA Gene","7"
"Genus Hippocampus","cortex bone disorders","BACE1 Gene","7"
"Bundle, Predorsal","Neurodegenerative Disorders","HTT gene","7"
"Nucleus fastigii","Fetal Alcohol Syndrome","Tumor Necrosis Factor-alpha","7"
"Genus Hippocampus","Hamartoma Syndrome, Multiple","HLA-DQA1 wt Allele","7"
"Cerebral cortex","Alzheimer's Disease","PSEN1 wt Allele","7"
"Corpus striatum structure","cortex bone disorders","PNP wt Allele","7"
"Anterodorsal nucleus of thalamus","Alzheimer's Disease","Retinoic Acid Response Element","7"
"Genus Hippocampus","cortex bone disorders","BECN1 Gene","7"
"Interpeduncular nucleus","Syndrome, Bloch-Sulzberger","GRM5 wt Allele","7"
"Corpus striatum structure","Syndrome, Bloch-Sulzberger","IKBKG wt Allele","7"
"Thalamic structure","cortex bone disorders","F3 Gene","7"
"Structure of nucleus prepositus","Functional disorder","ABCB6 wt Allele","7"
"Ventral Tegmental Area","Syndrome, Bloch-Sulzberger","SDHB wt Allele","7"
"Dorsal Septal Nucleus","Opitz-Frias syndrome","MID1 wt Allele","7"
"Structure of nucleus prepositus","Disease Progression","PRNP gene","7"
"Temporal Lobe","cortex bone disorders","TF gene","7"
"Cerebral cortex","Hamartoma Syndrome, Multiple","CTLA4 wt Allele","7"
"Cerebral cortex","Huntington Disease","HTT wt Allele","7"
"Nucleus fastigii","Fetal Alcohol Syndrome","TNF Gene","7"
"Median eminence of hypothalamus","Pituitary Diseases","GNRH1 Gene","7"
"Structure of entorhinal cortex","Alzheimer's Disease","MAPT wt Allele","7"
"Metencephalon","Autism Spectrum Disorders","MET wt Allele","7"
"Structure of nucleus prepositus","Functional disorder","PRNP gene","7"
"Genus Hippocampus","Hamartoma Syndrome, Multiple","NOD2 wt Allele","7"
"Substantia nigra structure","Hamartoma Syndrome, Multiple","NOD2 wt Allele","7"
"Posterior cerebral commissure","Chronic Fatigue Syndrome","PODXL Gene","7"
"Bundle, Predorsal","Alzheimer's Disease","SOD1 wt Allele","7"
"Anterodorsal nucleus of thalamus","Alzheimer's Disease","SQSTM1 Gene","7"
"BRAIN, HIPPOCAMPUS","Neurotoxicity Syndromes","Tumor Necrosis Factor-alpha","7"
"Substantia nigra structure","Hamartoma Syndrome, Multiple","CTLA4 wt Allele","7"
"Corpus striatum structure","Parkinson Disease","TH gene","7"
"Thalamic structure","cortex bone disorders","TF gene","7"
"Genus Hippocampus","Hamartoma Syndrome, Multiple","CTLA4 wt Allele","7"
"Paracentral Thalamic Nucleus","Chronic Fatigue Syndrome","PROC Gene","7"
"BRAIN, HIPPOCAMPUS","Alzheimer's Disease","INS gene","7"
"Substantia nigra structure","Hamartoma Syndrome, Multiple","HLA-DQA1 wt Allele","7"
"Anterodorsal nucleus of thalamus","Alzheimer's Disease","SQSTM1 wt Allele","7"
"Structure of nucleus prepositus","Functional disorder","PRNP wt Allele","7"
"Bundle, Predorsal","Alzheimer's Disease","HTT gene","7"
"Substantia nigra structure","Parkinson Disease","SLC6A3 Gene","7"
"Pituitary Gland","Pituitary Diseases","CD69 wt Allele","7"
"BRAIN, HIPPOCAMPUS","cortex bone disorders","BECN1 Gene","7"
"BRAIN, HIPPOCAMPUS","cortex bone disorders","BACE1 Gene","7"
"Bundle, Predorsal","Parkinson Disease","CD69 wt Allele","7"
"Substantia nigra structure","Parkinson Disease","CD69 wt Allele","7"
"Anterodorsal nucleus of thalamus","Alzheimer's Disease","AR wt Allele","7"
"Cerebral cortex","cortex bone disorders","SET Gene","7"
"Structure of nucleus prepositus","Disease Progression","PRNP wt Allele","7"
"Neostriatum","cortex bone disorders","PNP Gene","7"
"Paracentral Thalamic Nucleus","Chronic Fatigue Syndrome","KRT17 wt Allele","7"
"Brain Stem","Spinal Cord Diseases","Wild Type","7"
"Genus Hippocampus","Alzheimer's Disease","PSEN1 wt Allele","7"
"Genus Hippocampus","Syndrome, Bloch-Sulzberger","IKBKG wt Allele","7"
"Interpeduncular nucleus","Syndrome, Bloch-Sulzberger","B3GAT1 wt Allele","7"
"Structure of nucleus prepositus","Disease Progression","ABCB6 wt Allele","7"
"Anterodorsal nucleus of thalamus","Alzheimer's Disease","MIR22 wt Allele","7"
"Cerebral cortex","cortex bone disorders","Long Interspersed Element","7"
"Genus Hippocampus","Syndrome, Bloch-Sulzberger","SDHB wt Allele","7"
"Neostriatum","Syndrome, Bloch-Sulzberger","SDHB wt Allele","7"
"Neostriatum","Syndrome, Bloch-Sulzberger","IKBKG wt Allele","7"
"Basal Forebrain","Alzheimer's Disease","MAPT wt Allele","7"
"Median eminence of hypothalamus","Pituitary Diseases","GNRH1 wt Allele","7"
"Pituitary Gland","Pituitary Diseases","GHRL Gene","7"
"Corpus striatum structure","Syndrome, Bloch-Sulzberger","SDHB wt Allele","7"
"Thalamic structure","Van der Woude syndrome","TH gene","7"
"Anterodorsal nucleus of thalamus","Alzheimer's Disease","ADAM10 Gene","7"
"Anterodorsal nucleus of thalamus","Alzheimer's Disease","LRP1 Gene","7"
"Neostriatum","cortex bone disorders","PNP wt Allele","7"
"Cerebral cortex","Hamartoma Syndrome, Multiple","NOD2 wt Allele","7"
"Corpus striatum structure","Pituitary Diseases","AKT1S1 wt Allele","7"
"Ventral Tegmental Area","Syndrome, Bloch-Sulzberger","IKBKG wt Allele","7"
"Paracentral Thalamic Nucleus","Chronic Fatigue Syndrome","PODXL Gene","7"
"Posterior cerebral commissure","Chronic Fatigue Syndrome","KRT17 wt Allele","7"
"Cerebral hemisphere structure (body structure)","CADASIL Syndrome","NOTCH3 wt Allele","7"
"Pyramidal Cells","cortex bone disorders","RPL5 wt Allele","7"
"Temporal Lobe","cortex bone disorders","F3 Gene","7"
"Hypothalamic structure","Pituitary Diseases","GNRH1 wt Allele","7"
"Nucleus fastigii","Fetal Alcohol Syndrome","FAS wt Allele","7"
"Posterior cerebral commissure","Chronic Fatigue Syndrome","PROC wt Allele","7"
"Thalamic structure","cortex bone disorders","LITAF gene","7"
"Cerebral cortex","Hamartoma Syndrome, Multiple","HLA-DQA1 wt Allele","7"
"Paracentral Thalamic Nucleus","Chronic Fatigue Syndrome","PROC wt Allele","7"
"Metencephalon","Autism Spectrum Disorders","MET Gene","7"
"Interpeduncular nucleus","Syndrome, Bloch-Sulzberger","GRM5 Gene","7"
"Central insular sulcus","Depressive disorder","CISH Gene","7"
"Temporal Lobe","cortex bone disorders","F3 wt Allele","7"
"Dorsal Septal Nucleus","Opitz-Frias syndrome","DHPS wt Allele","7"
"Neostriatum","Pituitary Diseases","AKT1S1 wt Allele","7"
"Thalamic structure","cortex bone disorders","F3 wt Allele","7"
"Genus Hippocampus","Depressive disorder","BDNF Gene","7"
"Hypothalamic Area, Lateral","Ovarian Diseases","PLOD1 gene","7"
"Pyramidal Cells","Mucocutaneous Lymph Node Syndrome","AR wt Allele","7"
"Posterior cerebral commissure","Chronic Fatigue Syndrome","PODXL wt Allele","7"
"Gonadotrophs","Pituitary Diseases","GNRH1 wt Allele","7"
"Genus Hippocampus","Huntington Disease","HTT gene","7"
"Brain Stem","Bloom Syndrome","BLM wt Allele","7"
"Corpus striatum structure","cortex bone disorders","PNP Gene","7"
"Structure of locus ceruleus","Dysequilibrium syndrome","DES Gene","7"
"Pituitary Gland","Pituitary Diseases","Estrogen Receptors","7"
"Cerebral cortex","Alzheimer's Disease","CHAT Gene","7"
"Medial Septal Nucleus","Functional disorder","MTR Gene","6"
"Caudate nucleus structure","Hamartoma Syndrome, Multiple","c-fos Genes","6"
"Tuberomammillary Nucleus","Gilles de la Tourette syndrome","THBD wt Allele","6"
"Bundle, Predorsal","Alzheimer's Disease","MTR Gene","6"
"BRAIN, HIPPOCAMPUS","cortex bone disorders","NES Gene","6"
"Parahippocampal Gyrus","cortex bone disorders","F3 wt Allele","6"
"Structure of anterior commissure","cortex bone disorders","ASAH1 wt Allele","6"
"Neostriatum","cortex bone disorders","CHAT Gene","6"
"Genus Hippocampus","Huntington Disease","HTT wt Allele","6"
"BRAIN, HIPPOCAMPUS","Neurotoxicity Syndromes","TNF Gene","6"
"Posterior cerebral commissure","Hashimoto Disease","PODXL Gene","6"
"Neostriatum","cortex bone disorders","Long Interspersed Element","6"
"Anterodorsal nucleus of thalamus","Alzheimer's Disease","Genome","6"
"Cerebellum","Huntington Disease","HTT gene","6"
"Corpus striatum structure","Huntington Disease","Genes","6"
"Cerebral cortex","Alzheimer's Disease","SST Gene","6"
"Lobe, Frontal","cortex bone disorders","FLT3LG wt Allele","6"
"Brain Stem","cortex bone disorders","MAPT wt Allele","6"
"Tuberomammillary Nucleus","Gilles de la Tourette syndrome","TYMS Gene","6"
"Cerebral cortex","Hodgkin Disease","LIPC Gene","6"
"Midbrain structure","Van der Woude syndrome","IRF6 wt Allele","6"
"Metencephalon","Pervasive Development Disorder","MET Gene","6"
"Pituitary Gland","Pituitary Diseases","NR3C1 Gene","6"
"Structure of central sulcus","Hamartoma Syndrome, Multiple","FASTK Gene","6"
"Neostriatum","cortex bone disorders","c-fos Genes","6"
"BRAIN, HIPPOCAMPUS","cortex bone disorders","MAPK8 wt Allele","6"
"Anterodorsal nucleus of thalamus","Functional disorder","APP gene","6"
"Anterodorsal nucleus of thalamus","Alzheimer's Disease","MAP1LC3A Gene","6"
"Paratenial Nucleus","cortex bone disorders","F2 wt Allele","6"
"Genus Hippocampus","Hodgkin Disease","LIPC wt Allele","6"
"Parahippocampal Gyrus","cortex bone disorders","TF gene","6"
"Anterodorsal nucleus of thalamus","Alzheimer's Disease","MTR Gene","6"
"Medial Septal Nucleus","Functional disorder","MTR wt Allele","6"
"Bundle, Predorsal","Parkinson Disease","FYN wt Allele","6"
"Parahippocampal Gyrus","cortex bone disorders","F3 Gene","6"
"Tuberomammillary Nucleus","Gilles de la Tourette syndrome","TYMS wt Allele","6"
"Anterodorsal nucleus of thalamus","Alzheimer's Disease","CLU Gene","6"
"Nucleus of optic tract","Pituitary Diseases","OXT wt Allele","6"
"Corpus striatum structure","cortex bone disorders","CHAT Gene","6"
