"brainregion","mental","count"
"Orbitofrontal cortex","Decision Making","65"
"Visual Cortex","Vision","65"
"Structure of anterior hypothalamic nucleus","At risk for impaired skin integrity","65"
"Auditory Hair Cell","Hearing impairment","65"
"Medulla Oblongata","Involvement with","65"
"Structure of anterior hypothalamic nucleus","At risk for violence","65"
"Structure of anterior hypothalamic nucleus","At risk for imbalanced body temperature","65"
"Reticular Formation","Projection Defense Mechanism","65"
"Structure of anterior hypothalamic nucleus","At risk for activity intolerance","65"
"Entire Brodmann areas 17 (striate cortex), 18 (parastriate cortex) and 19 (peristriate cortex) of occipital lobe","Vision","65"
"Genus Hippocampus","Comprehension","64"
"Basal Ganglia","Involvement with","64"
"Structure of paraventricular nucleus of thalamus","Behavior","64"
"Visual Cortex","Attention","64"
"Hypothalamic structure","Desire for food","64"
"Structure of locus ceruleus","Pain","64"
"Structure of terminal stria nuclei of preoptic region","Behavior","64"
"Globus Pallidus","Social Role","64"
"Structure of entorhinal cortex","Social Role","64"
"Entire Brodmann areas 17 (striate cortex), 18 (parastriate cortex) and 19 (peristriate cortex) of occipital lobe","Period, Critical (Psychology)","64"
"Insula of Reil","Social Role","64"
"Nucleus Accumbens","Methamphetamine","64"
"Entire Brodmann areas 17 (striate cortex), 18 (parastriate cortex) and 19 (peristriate cortex) of occipital lobe","Attention","64"
"Structure of nucleus infundibularis hypothalami","Feedback - evaluative response process","63"
"Lobe, Frontal","Projection Defense Mechanism","63"
"Structure of nucleus infundibularis hypothalami","Feedback - system communication","63"
"Structure of terminal stria nuclei of preoptic region","Stress","63"
"Genus Hippocampus","Abnormal behavior","63"
"Neocortex","Memory","63"
"Pedunculopontine Tegmental Nucleus","Social Role","63"
"BRAIN, HIPPOCAMPUS","Disputes","63"
"Brain Stem","Stress","63"
"Prefrontal Cortex","Mental association","63"
"Ventral Tegmental Area","Withdrawal","63"
"Purkinje Cells","Involvement with","63"
"Cortex, Primary Motor","Reaching","63"
"Metencephalon","Social Role","62"
"Genus Hippocampus","Avoidance","62"
"Auditory area","Behavior","62"
"Genus Hippocampus","Hyperactive behavior","62"
"Structure of subthalamic nucleus","Communication Response","62"
"CA1 field","Cognition","62"
"Structure of nucleus infundibularis hypothalami","Projection Defense Mechanism","62"
"Basal Forebrain","Like","62"
"Parietal Lobe","Social Role","61"
"Structure of locus ceruleus","Sleep","61"
"Structure of dentate gyrus","Psychological inhibition","61"
"Pars Compacta","Behavior","61"
"Ventral Tegmental Area","Aversion (finding)","61"
"Cerebral cortex","Anxiety","61"
"Cerebral cortex","Decision Making","61"
"Cerebral cortex","Psychological Transfer","61"
"Parietal Lobe","Behavior","61"
"Neocortex","Like","61"
"Neocortex","Behavior","61"
"Structure of paraventricular nucleus","Stress","61"
"Midbrain structure","Involvement with","61"
"Cerebellum","Physical activity","60"
"Corpus striatum structure","Performance","60"
"Structure of entorhinal cortex","Projection Defense Mechanism","60"
"Entire Brodmann areas 17 (striate cortex), 18 (parastriate cortex) and 19 (peristriate cortex) of occipital lobe","Behavior","60"
"Cerebral hemisphere structure (body structure)","Stress","60"
"Cerebral cortex","Cocaine","60"
"Cerebral cortex","Body Weight","60"
"Lateral habenular nucleus","Cocaine","60"
"Amygdaloid structure","Social Behavior","60"
"Cerebellum","Feedback - system communication","59"
"Cerebral cortex","Physical activity","59"
"Nucleus Accumbens","Motivation","59"
"BRAIN, HIPPOCAMPUS","Success","59"
"CA1 field","Conditionings (Psychology)","59"
"Structure of supraoptic nucleus","Communication Response","59"
"Medial Dorsal Nucleus","Projection Defense Mechanism","59"
"Genus Hippocampus","Memory, Long-Term","59"
"Structure of rubrospinal tract","Fasting","59"
"Prefrontal Cortex","Conditionings (Psychology)","58"
"Substantia nigra structure","Mental concentration","58"
"Hindbrain","Projection Defense Mechanism","58"
"Hypothalamic Area, Lateral","Feedback - evaluative response process","58"
"Medial geniculate body","Auditory area","58"
"Purkinje Cells","Learning","58"
"Medulla Oblongata","Behavior","58"
"Genus Hippocampus","Sleep","58"
"Hypothalamic structure","Behaviors, Feeding","58"
"Genus Hippocampus","Recognition (Psychology)","58"
"Central gray substance of midbrain","Vocalization (finding)","58"
"Neocortex","Psychological inhibition","58"
"Structure of locus ceruleus","Involvement with","58"
"Structure of subthalamic nucleus","Projection Defense Mechanism","58"
"Entire medulla oblongata","Pain","58"
"Structure of locus ceruleus","Mental concentration","58"
"central amygdalar nucleus","Emotions","58"
"Ventral Tegmental Area","Learning","58"
"Hypothalamic Area, Lateral","Feedback - system communication","58"
"Pituitary Gland","biological adaptation to stress","58"
"Olfactory Cortex","smell perception","58"
"Cochlear nucleus structure","Communication Response","58"
"Lateral habenular nucleus","Psychological inhibition","58"
"Purkinje Cells","Conditionings (Psychology)","58"
"Neostriatum","Ethanol","58"
"Area striata structure","Attention","57"
"Cerebellar cortex structure","Communication Response","57"
"Superior colliculus of corpora quadrigemina","Psychological inhibition","57"
"Amygdaloid structure","Play","57"
"BRAIN, HIPPOCAMPUS","Intrinsic drive","57"
"Structure of subthalamic nucleus","Psychological inhibition","57"
"Genus Hippocampus","smell perception","57"
"Area striata structure","Psychological inhibition","57"
"Inferior olivary nucleus","Projection Defense Mechanism","57"
"Pyramidal Cells","Memory, Short-Term","57"
"Vestibular nucleus structure","Communication Response","57"
"Hindbrain","Communication Response","57"
"Dorsal Nucleus Raphe","Sleep","57"
"BRAIN, HIPPOCAMPUS","Fetal stress","57"
"Area striata structure","Experience","57"
"Cerebellum","Insight","57"
"Central gray substance of midbrain","Absence of pain sensation","57"
"Cerebellar cortex structure","Projection Defense Mechanism","57"
"Genus Hippocampus","Insight","57"
"Cortex, Primary Motor","Involvement with","57"
"Cerebellum","Autistic Disorder","57"
"Neostriatum","Stress","57"
"Set of basolateral nuclei of amygdala","Communication Response","56"
"Nucleus Accumbens","Addictive Behavior","56"
"Insula of Reil","Behavior","56"
"Temporal Lobe","Social Role","56"
"Dorsal Nucleus Raphe","DEPRESSION MENTAL","56"
"Structure of locus ceruleus","DEPRESSION MENTAL","56"
"Structure of entorhinal cortex","Memory","56"
"central amygdalar nucleus","Conditionings (Psychology)","56"
"Genus Hippocampus","memory process","56"
"Corpus striatum structure","Fasting","56"
"Pyramidal Cells","Feedback - system communication","56"
"Telencephalon","Projection Defense Mechanism","55"
"Corpus striatum structure","Stress","55"
"Structure of paraventricular nucleus of thalamus","Communication Response","55"
"Genus Hippocampus","Body Weight","55"
"Pyramidal Cells","Feedback - evaluative response process","55"
"Substantia nigra structure","Involvement with","55"
"Structure of central sulcus","Conditionings (Psychology)","55"
"Cerebellum","Feedback - evaluative response process","55"
"Hypothalamic Area, Lateral","Wakefulness","55"
"Prefrontal Cortex","Mental concentration","55"
"Thalamic structure","Auditory area","55"
"BRAIN, HIPPOCAMPUS","Conditioning, Classical","55"
"Amygdaloid structure","Coitus","55"
"Telencephalon","Social Role","54"
"Tegmentum Mesencephali","Projection Defense Mechanism","54"
"Entire medulla oblongata","Like","54"
"Structure of locus ceruleus","Wakefulness","54"
"Brodmann area 18","psychological orientation","54"
"Hypothalamic Area, Lateral","Psychological suppression","54"
"Hypothalamic structure","Ethanol","54"
"Cerebral hemisphere structure (body structure)","Memory","54"
"Genus Hippocampus","Cognitive information processing","54"
"Parietal Lobe","Fear","54"
"Structure of olfactory bulb","Behavior","54"
"Lateral habenular nucleus","Communication Response","54"
"CA3 field","Fasting","54"
"Neostriatum","Performance","54"
"CA1 field","Psychological suppression","54"
"Cerebral cortex","Visual Fields","54"
"Posterolateral auditory cortex","Fear","54"
"Pyramidal Cells","Cognition","53"
"Paracentral Thalamic Nucleus","Communication Response","53"
"Neostriatum","Fasting","53"
"BRAIN, HIPPOCAMPUS","Emotional Strain","53"
"Prefrontal Cortex","Sex Behavior","53"
"Corpus striatum structure","Physical activity","53"
"Posterior cerebral commissure","Communication Response","53"
"Cerebral hemisphere structure (body structure)","Mental concentration","53"
"Brain Stem","Intrinsic drive","53"
"Structure of locus ceruleus","Anxiety","53"
"Genus Hippocampus","biological adaptation to stress","53"
"Pontine nuclei","Projection Defense Mechanism","53"
"Pretectal region","Projection Defense Mechanism","53"
"Set of basolateral nuclei of amygdala","Emotions","52"
"Paracentral Thalamic Nucleus","Social Role","52"
"Genus Hippocampus","Cocaine","52"
"Superior colliculus of corpora quadrigemina","Eye Movements","52"
"Genus Hippocampus","Spatial Navigation","52"
"Cerebral cortex","Hemorrhage","52"
"Posterior cerebral commissure","Social Role","52"
"lateral geniculate nucleus","Projection Defense Mechanism","52"
"CA2 field","Behavior","52"
"Neostriatum","Physical activity","52"
"Medulla Oblongata","Intrinsic drive","51"
"Neocortex","Mental association","51"
"Ventral Tegmental Area","Mental concentration","51"
"Prosencephalon","Psychological inhibition","51"
"Structure of olfactory bulb","Psychological inhibition","51"
"Thalamic structure","Feedback - system communication","51"
"Amygdaloid structure","DEPRESSION MENTAL","51"
"Lateral superior olivary nucleus","Projection Defense Mechanism","51"
"Median eminence of hypothalamus","Like","51"
"Thalamic structure","Feedback - evaluative response process","51"
"Cerebral cortex","Recognition (Psychology)","51"
"Area striata structure","Like","51"
"Genus Hippocampus","Mood","51"
"Cerebral cortex","Resting state","51"
"Cerebellum","Tremor","51"
"Prefrontal Cortex","Fasting","51"
"Gigantocellular nucleus","Communication Response","51"
"Entire lateral geniculate body","Projection Defense Mechanism","51"
"Nucleus Accumbens","DEPRESSION MENTAL","50"
"Basal Forebrain","Ethanol","50"
"Prosencephalon","smell perception","50"
"Genus Hippocampus","Pain","50"
"Cerebral hemisphere structure (body structure)","Cognition","50"
"Genus Hippocampus","Feedback - evaluative response process","50"
"Superior colliculus of corpora quadrigemina","Attention","50"
"Structure of dentate gyrus","Seizures","50"
"Habenula","Social Role","50"
"BRAIN, HIPPOCAMPUS","Period, Critical (Psychology)","50"
"BRAIN, HIPPOCAMPUS","Psychological Transfer","50"
"Basal Forebrain","Wakefulness","50"
"Structure of nucleus infundibularis hypothalami","Reproduction","50"
"Purkinje Cells","DEPRESSION MENTAL","50"
"Genus Hippocampus","Feedback - system communication","50"
"Hypothalamic Area, Lateral","Stress","49"
"Substantia innominata","Communication Response","49"
"Brain Stem","Sound Localization","49"
"Brodmann area 35","Memory","49"
"Prefrontal Cortex","Methamphetamine","49"
"Superior colliculus of corpora quadrigemina","psychological orientation","49"
"Limbic System","Social Role","49"
"Visual Cortex","Psychological inhibition","49"
"Cerebral cortex","taste perception","49"
"Nucleus Accumbens","Withdrawal","49"
"Medial Dorsal Nucleus","Communication Response","49"
"Preoptic Areas","Like","49"
"Corpus striatum structure","Behaviorial Habits","49"
"Anterodorsal nucleus of thalamus","Mental association","49"
"Cerebellum","DEPRESSION MENTAL","49"
"Cerebellum","Mental association","49"
"Prosencephalon","Cognition","49"
"Parabrachial Nucleus","Communication Response","49"
"Amygdaloid structure","Ethanol","49"
"Pyramidal Cells","Intrinsic drive","49"
"Pyramidal Cells","Fear","48"
"Prefrontal Cortex","Experience","48"
"Prosencephalon","Seizures","48"
"Structure of dorsal cochlear nucleus","Communication Response","48"
"Sensorimotor Cortex","Communication Response","48"
"Pituitary Gland","Like","48"
"BRAIN, HIPPOCAMPUS","Physical Contact","48"
"Entire Brodmann areas 17 (striate cortex), 18 (parastriate cortex) and 19 (peristriate cortex) of occipital lobe","Psychological inhibition","48"
"Structure of rubrospinal tract","Behavior","48"
"Purkinje Cells","Psychological suppression","48"
"Lateral habenular nucleus","Ethanol","48"
"Cerebral cortex","Feeling content","48"
"Ventral Striatum","Projection Defense Mechanism","48"
"Motor Cortex","Performance","48"
"Orbitofrontal cortex","Projection Defense Mechanism","48"
"Pyramidal Cells","Anxiety","48"
"Ventral Striatum","Behavior","48"
"Corpus striatum structure","Play","47"
"Cerebral cortex","Chronic pain","47"
"Structure of terminal stria nuclei of preoptic region","Communication Response","47"
"Corpus striatum structure","Mental association","47"
"Lateral habenular nucleus","Stress","47"
"Cerebral cortex","Mental Processes","47"
"Motor Cortex","Involvement with","47"
"Structure of locus ceruleus","Memory","47"
"BRAIN, HIPPOCAMPUS","Feeding Activity","47"
"Ventral Tegmental Area","Alcohol consumption","47"
"BRAIN, HIPPOCAMPUS","Mental Processes","47"
"central amygdalar nucleus","Pain","47"
"Neostriatum","Play","47"
"Area striata structure","Discrimination","47"
"Hypothalamic structure","Fasting","47"
"Prefrontal Cortex","Coitus","47"
"Structure of suprachiasmatic nucleus","Like","47"
"Anterodorsal nucleus of thalamus","Cognition","46"
"Medulla Oblongata","smell perception","46"
"Auditory Hair Cell","Social Role","46"
"Basal Ganglia","Comprehension","46"
"Genus Hippocampus","Sleep Deprivation","46"
"Hypothalamic Area, Lateral","Like","46"
"Brodmann area 18","Projection Defense Mechanism","46"
"BRAIN, HIPPOCAMPUS","competition","46"
"Substantia Nigra Pars Reticulata","Projection Defense Mechanism","46"
"Basal Forebrain","Cognition","46"
"Hindbrain","Eating","46"
"Hypothalamic Area, Lateral","Ethanol","46"
"Pituitary Gland","Behavior","46"
"Ventral Tegmental Area","Conditionings (Psychology)","46"
"Anterodorsal nucleus of thalamus","Involvement with","46"
"Median preoptic nucleus","Communication Response","46"
"Structure of terminal stria nuclei of preoptic region","Anxiety","46"
"Pyramidal Cells","Cocaine","46"
"Prefrontal Cortex","Autistic Disorder","46"
"Midbrain structure","Mental concentration","46"
"Reticular Formation","Communication Response","46"
"Inferior Colliculus","Behavior","46"
"Ventral Tegmental Area","Methamphetamine","46"
"Structure of nucleus infundibularis hypothalami","Like","46"
"Genus Hippocampus","Attention","46"
"Basal Ganglia","Like","45"
"Thalamic Nuclei","Communication Response","45"
"Cortex, Primary Motor","Like","45"
"Cerebral cortex","Physical Contact","45"
"Cerebral cortex","Reaching","45"
"Area striata structure","Visual Fields","45"
"Pituitary Gland","Mental concentration","45"
"Set of basolateral nuclei of amygdala","Projection Defense Mechanism","45"
"Neostriatum","Mental association","45"
"Set of basolateral nuclei of amygdala","Like","45"
"Cerebral hemisphere structure (body structure)","Projection Defense Mechanism","45"
"Thalamic structure","Seizures","45"
"Lobe, Frontal","Like","45"
"BRAIN, HIPPOCAMPUS","Retrieval of memory","45"
"Cerebral cortex","Feeding Activity","45"
"Structure of terminal stria nuclei of preoptic region","Social Role","45"
