"brainregion","disease","mental","count"
"Structure of locus ceruleus","Disorders, Mental","Abnormal behavior","10"
"Hypothalamic structure","Skin endocrine disorder","Behavior","10"
"Neostriatum","cortex bone disorders","Like","10"
"Anterodorsal nucleus of thalamus","Alzheimer's Disease","Interested","10"
"Hypothalamic structure","cortex bone disorders","Communication Response","10"
"BRAIN, HIPPOCAMPUS","Hodgkin Disease","Swimming","10"
"Structure of dentate gyrus","Mood Disorders","Mood Disorders","10"
"Basal Ganglia","Functional disorder","Comprehension","10"
"BRAIN, HIPPOCAMPUS","Alzheimer's Disease","Mental association","10"
"Amygdaloid structure","cortex bone disorders","Communication Response","10"
"Neocortex","Depressive disorder","DEPRESSION MENTAL","10"
"Structure of olfactory bulb","Depressive disorder","DEPRESSION MENTAL","10"
"Anterodorsal nucleus of thalamus","Neurotoxicity Syndromes","Social Role","10"
"Structure of central sulcus","Hamartoma Syndrome, Multiple","Like","10"
"Brain Stem","Functional disorder","Social Role","10"
"Medulla Oblongata","Depressive disorder","DEPRESSION MENTAL","10"
"Pituitary Gland","Pituitary Diseases","Unipolar Depression","10"
"Corpus striatum structure","cortex bone disorders","Mental concentration","10"
"Orbitofrontal cortex","cortex bone disorders","taste perception","10"
"Corpus striatum structure","Parkinson Disease","Social Role","10"
"BRAIN, HIPPOCAMPUS","Functional disorder","Like","10"
"Corpus striatum structure","cortex bone disorders","Like","10"
"Structure of central sulcus","Hamartoma Syndrome, Multiple","conditioned taste aversion","10"
"Anterodorsal nucleus of thalamus","Alzheimer's Disease","Discussion","9"
"Central gray substance of midbrain","Spinal Cord Diseases","Psychological inhibition","9"
"Bundle, Predorsal","Depressive disorder","DEPRESSION MENTAL","9"
"Anterodorsal nucleus of thalamus","Alzheimer's Disease","Success","9"
"Pyramidal Cells","cortex bone disorders","Projection Defense Mechanism","9"
"Lateral habenular nucleus","Depressive disorder","Stress","9"
"Structure of suprachiasmatic nucleus","Depressive disorder","DEPRESSION MENTAL","9"
"Cerebral cortex","Disorder nervous system","Social Role","9"
"Structure of paraventricular nucleus","Hypertensive disease","Social Role","9"
"Medulla Oblongata","Spinal Cord Diseases","Social Role","9"
"BRAIN, HIPPOCAMPUS","cortex bone disorders","Fasting","9"
"Neostriatum","Parkinson Disease","Social Role","9"
"BRAIN, HIPPOCAMPUS","Fetal Alcohol Spectrum Disorders","Fetal Alcohol Syndrome","9"
"Ventral Tegmental Area","cortex bone disorders","Projection Defense Mechanism","9"
"Structure of fissure of Sylvius","Leigh Disease","Social Role","9"
"BRAIN, HIPPOCAMPUS","Memory Disorders","Memory Disorders","9"
"Basal Ganglia","Functional disorder","Insight","9"
"Neostriatum","Parkinson Disease","Projection Defense Mechanism","9"
"Caudate nucleus structure","Hamartoma Syndrome, Multiple","Communication Response","9"
"Cerebral cortex","Spinal Cord Diseases","Communication Response","9"
"Medial Septal Nucleus","Depressive disorder","DEPRESSION MENTAL","9"
"Genus Hippocampus","Alzheimer's Disease","Mental association","9"
"Nucleus Accumbens","cortex bone disorders","Projection Defense Mechanism","9"
"Superior colliculus of corpora quadrigemina","cortex bone disorders","Projection Defense Mechanism","9"
"Area striata structure","Depressive disorder","DEPRESSION MENTAL","9"
"Marginal Sulcus","Depressive disorder","DEPRESSION MENTAL","9"
"Genus Hippocampus","cortex bone disorders","Fasting","9"
"Cerebral cortex","Fetal Alcohol Syndrome","Fetal Alcohol Syndrome","9"
"Cerebral hemisphere structure (body structure)","Functional disorder","Impaired cognition","9"
"Structure of olfactory bulb","Nose Diseases","smell perception","9"
"Superior colliculus of corpora quadrigemina","cortex bone disorders","Communication Response","9"
"BRAIN, HIPPOCAMPUS","cortex bone disorders","Exercise","9"
"Posterior cerebral commissure","Depressive disorder","DEPRESSION MENTAL","9"
"Midbrain structure","Parkinson Disease","DEPRESSION MENTAL","9"
"Neostriatum","Disorders, Mental","Abnormal behavior","9"
"Paracentral Thalamic Nucleus","Depressive disorder","DEPRESSION MENTAL","9"
"Midbrain structure","Parkinson Disease","Like","9"
"Structure of angular gyrus","Hypertensive disease","Social Role","9"
"Brain Stem","Spinal Cord Diseases","Paralysed","9"
"Basal Nucleus of Meynert","Alzheimer's Disease","Memory","9"
"Cerebral cortex","Depressive disorder","Like","9"
"Pars Compacta","Parkinson Disease","Bradykinesia","9"
"Lateral Septal Nucleus","Leigh Disease","Social Role","9"
"Pituitary Gland","Major Depressive Disorder","Unipolar Depression","9"
"Central Dorsal Nucleus","Hamartoma Syndrome, Multiple","Communication Response","9"
"Cerebral cortex","cortex bone disorders","Feedback - system communication","9"
"Motor Cortex","cortex bone disorders","Projection Defense Mechanism","9"
"Basal Forebrain","cortex bone disorders","Communication Response","9"
"Structure of subthalamic nucleus","Parkinson Disease","Social Role","9"
"Cortex, Primary Motor","Spinal Cord Diseases","Projection Defense Mechanism","9"
"Bundle, Predorsal","Alzheimer's Disease","Social Role","9"
"Genus Hippocampus","cortex bone disorders","Visual learning","9"
"Cerebral cortex","cortex bone disorders","Communication","9"
"Corpus striatum structure","Parkinson Disease","Projection Defense Mechanism","9"
"BRAIN, HIPPOCAMPUS","Alzheimer's Disease","Hyperactive behavior","9"
"Genus Hippocampus","Neurotoxicity Syndromes","Behavior","9"
"Cerebral cortex","Functional disorder","Fasting","9"
"Hypothalamic structure","Pituitary Diseases","Feedback - evaluative response process","9"
"BRAIN, HIPPOCAMPUS","Disorder nervous system","Social Role","9"
"Cerebral hemisphere structure (body structure)","Alzheimer's Disease","Impaired cognition","9"
"Thalamic structure","cortex bone disorders","Sleep","9"
"Cerebellum","Spinal Cord Diseases","Projection Defense Mechanism","9"
"Structure of central sulcus","Hamartoma Syndrome, Multiple","Cocaine","9"
"Cerebral cortex","Alzheimer's Disease","Memory","9"
"Brain Stem","Spinal Cord Diseases","Pain","9"
"Genus Hippocampus","Neurodegenerative Disorders","Memory","9"
"Genus Hippocampus","cortex bone disorders","Exercise","9"
"Genus Hippocampus","Functional disorder","DEPRESSION MENTAL","9"
"Hypothalamic structure","Pituitary Diseases","Feedback - system communication","9"
"Structure of superior temporal sulcus","Gilles de la Tourette syndrome","Gilles de la Tourette syndrome","9"
"Interpeduncular nucleus","Depressive disorder","DEPRESSION MENTAL","9"
"Thalamic structure","cortex bone disorders","Communication","9"
"Pyramidal Cells","cortex bone disorders","Like","9"
"Cerebral cortex","Spinal Cord Diseases","Projection Defense Mechanism","8"
"Perforant Pathway","Depressive disorder","DEPRESSION MENTAL","8"
"BRAIN, HIPPOCAMPUS","cortex bone disorders","Feeling content","8"
"Genus Hippocampus","cortex bone disorders","Feeling content","8"
"Structure of central sulcus","Hamartoma Syndrome, Multiple","Discrimination","8"
"BRAIN, HIPPOCAMPUS","cortex bone disorders","Forgetful","8"
"Corpus striatum structure","Neurotoxicity Syndromes","Methamphetamine","8"
"Dorsal Nucleus Raphe","Depressive disorder","Stress","8"
"Visual Cortex","cortex bone disorders","Projection Defense Mechanism","8"
"Lateral Septal Nucleus","Leigh Disease","Convergence, Ocular","8"
"Cerebral cortex","cortex bone disorders","Feedback - evaluative response process","8"
"Triangular Septal Nucleus","Timothy syndrome","Communication Response","8"
"Cerebral cortex","Depressive disorder","Psychological inhibition","8"
"Pituitary Gland","Pituitary Diseases","Feeling content","8"
"Temporal Lobe","Autistic Disorder","Autistic Disorder","8"
"BRAIN, HIPPOCAMPUS","Neurotoxicity Syndromes","Psychological inhibition","8"
"Cerebral cortex","Neurodevelopmental disorder","Autistic Disorder","8"
"Cerebellum","Fetal Alcohol Syndrome","Ethanol","8"
"BRAIN, HIPPOCAMPUS","Depressive disorder","Mood","8"
"Cerebral cortex","Autistic Disorder","Abnormal behavior","8"
"Basal Ganglia","Parkinson Disease","Comprehension","8"
"Posterolateral auditory cortex","cortex bone disorders","Conditionings (Psychology)","8"
"Structure of central sulcus","Hamartoma Syndrome, Multiple","psychological orientation","8"
"Corpus striatum structure","cortex bone disorders","Psychological inhibition","8"
"Cerebral cortex","Retinal Diseases","Communication Response","8"
"Basal Ganglia","Disorders, Mental","Abnormal behavior","8"
"Red nucleus structure","Spinal Cord Diseases","Projection Defense Mechanism","8"
"Corpus striatum structure","cortex bone disorders","Involvement with","8"
"BRAIN, HIPPOCAMPUS","Alzheimer's Disease","DEPRESSION MENTAL","8"
"BRAIN, HIPPOCAMPUS","Mood Disorders","Stress","8"
"BRAIN, HIPPOCAMPUS","Functional disorder","Ethanol","8"
"Pyramidal Cells","cortex bone disorders","Fasting","8"
"Genus Hippocampus","cortex bone disorders","Spatial Memory","8"
"Cerebral cortex","Functional disorder","Cognition","8"
"Nucleus Accumbens","Depressive disorder","Social Role","8"
"Anterodorsal nucleus of thalamus","Alzheimer's Disease","Sex Behavior","8"
"Tectospinal tract of medulla","Gilles de la Tourette syndrome","Communication Response","8"
"BRAIN, HIPPOCAMPUS","cortex bone disorders","Spatial Memory","8"
"Anteroventral Thalamic Nucleus","Alzheimer's Disease","Projection Defense Mechanism","8"
"Lateral geniculate complex","Retinal Diseases","Projection Defense Mechanism","8"
"BRAIN, HIPPOCAMPUS","cortex bone disorders","Mental association","8"
"Structure of locus ceruleus","Depressive disorder","Stress","8"
"Superior colliculus of corpora quadrigemina","Retinal Diseases","Communication Response","8"
"Hypothalamic structure","Functional disorder","Social Role","8"
"Genus Hippocampus","Alzheimer's Disease","Involvement with","8"
"Bundle, Predorsal","Parkinson Disease","Involvement with","8"
"Cerebral cortex","Alzheimer's Disease","Like","8"
"Pituitary Gland","Pituitary Diseases","Emotions","8"
"Neostriatum","Depressive disorder","Like","8"
"Corpus striatum structure","Depressive disorder","Like","8"
"Neostriatum","Neurotoxicity Syndromes","Methamphetamine","8"
"Entire lateral geniculate body","Retinal Diseases","Communication Response","8"
"Anterodorsal nucleus of thalamus","Alzheimer's Disease","Sets (Psychology)","8"
"Pituitary Gland","Pituitary Diseases","Eating","8"
"BRAIN, HIPPOCAMPUS","Disorder nervous system","Memory","8"
"BRAIN, HIPPOCAMPUS","Functional disorder","Communication Response","8"
"Structure of fissure of Sylvius","Leigh Disease","Convergence, Ocular","8"
"Pontine structure","Spinal Cord Diseases","Projection Defense Mechanism","8"
"Neostriatum","cortex bone disorders","Psychological inhibition","8"
"Cerebral cortex","Functional disorder","Insight","8"
"Lobe, Frontal","Depressive disorder","DEPRESSION MENTAL","8"
"CA3 field","Depressive disorder","Like","8"
"Interpeduncular nucleus","Syndrome, Bloch-Sulzberger","Involvement with","8"
"Triangular Septal Nucleus","Gilles de la Tourette syndrome","Communication Response","8"
"Cerebral cortex","cortex bone disorders","Cognitive information processing","8"
"Brain Stem","cortex bone disorders","Projection Defense Mechanism","8"
"Thalamic structure","cortex bone disorders","Cognition","8"
"BRAIN, HIPPOCAMPUS","Functional disorder","Spatial Memory","8"
"Prefrontal Cortex","Functional disorder","Unipolar Depression","8"
"Amygdaloid structure","cortex bone disorders","taste perception","8"
"Structure of dentate gyrus","Disorders, Mental","Abnormal behavior","8"
"BRAIN, HIPPOCAMPUS","Functional disorder","Abnormal behavior","8"
"Neostriatum","cortex bone disorders","Involvement with","8"
"Thalamic structure","Spinal Cord Diseases","Projection Defense Mechanism","8"
"Genus Hippocampus","cortex bone disorders","Forgetful","8"
"Corpus Callosum","Autistic Disorder","Autistic Disorder","8"
"Ventral Tegmental Area","Depressive disorder","Addictive Behavior","8"
"Cerebral cortex","Disorders, Mental","Autistic Disorder","8"
"Brain Stem","Autistic Disorder","Autistic Disorder","8"
"Dorsal Nucleus Raphe","Stress Disorders, Traumatic","Stress","8"
"Tectospinal tract of medulla","Timothy syndrome","Communication Response","8"
"Corpus striatum structure","Huntington Disease","Social Role","8"
"BRAIN, HIPPOCAMPUS","Functional disorder","Involvement with","8"
"Cortex, Primary Motor","cortex bone disorders","Projection Defense Mechanism","8"
"Anterodorsal nucleus of thalamus","Alzheimer's Disease","Coitus","8"
"BRAIN, HIPPOCAMPUS","Depressive disorder","Learning","8"
"Parietal Lobe","cortex bone disorders","Conditionings (Psychology)","8"
"BRAIN, HIPPOCAMPUS","Functional disorder","Hyperactive behavior","8"
"Anterodorsal nucleus of thalamus","Alzheimer's Disease","Psychological suppression","8"
"Basal Forebrain","Alzheimer's Disease","Projection Defense Mechanism","7"
"Cerebral cortex","Alzheimer's Disease","Memory impairment","7"
"Basal Ganglia","Parkinson Disease","Like","7"
"BRAIN, HIPPOCAMPUS","Parkinson Disease","Impaired cognition","7"
"Prefrontal Cortex","Sensitization (disorder)","Social Role","7"
"Cerebral cortex","Depressive disorder","Behavior","7"
"Amygdaloid structure","cortex bone disorders","Fear","7"
"Corpus striatum structure","Autistic Disorder","Autistic Disorder","7"
"BRAIN, HIPPOCAMPUS","Functional disorder","Seizures","7"
"BRAIN, HIPPOCAMPUS","Alzheimer's Disease","Mental concentration","7"
"Medulla Oblongata","Hypertensive disease","Social Role","7"
"Prefrontal Cortex","Functional disorder","Abnormal behavior","7"
"Corpus striatum structure","Huntington Disease","Involvement with","7"
"Pars Compacta","Parkinson Disease","Behavior","7"
"BRAIN, HIPPOCAMPUS","Disorders, Mental","Memory","7"
"BRAIN, HIPPOCAMPUS","Depressive disorder","Swimming","7"
"Ventral Tegmental Area","Sensitization (disorder)","Stress","7"
"Cerebellum","Ataxia as late effect of cerebrovascular disease","Social Role","7"
"Midbrain structure","cortex bone disorders","Communication Response","7"
"Basal Ganglia","cortex bone disorders","Projection Defense Mechanism","7"
"Cerebral cortex","cortex bone disorders","Psychological suppression","7"
"Genus Hippocampus","Alzheimer's Disease","Like","7"
"Corpus striatum structure","cortex bone disorders","Projection Defense Mechanism","7"
"Cerebral cortex","Cognition Disorders","Impaired cognition","7"
"Anterodorsal nucleus of thalamus","Alzheimer's Disease","Sleep","7"
"Cerebral cortex","Functional disorder","Projection Defense Mechanism","7"
"BRAIN, HIPPOCAMPUS","Alzheimer's Disease","Factors, Risk","7"
"Structure of subthalamic nucleus","Depressive disorder","DEPRESSION MENTAL","7"
"Amygdaloid structure","Stress Disorders, Traumatic","Emotions","7"
"CA3 field","Depressive disorder","Behavior","7"
"Lateral geniculate complex","cortex bone disorders","Projection Defense Mechanism","7"
"Neostriatum","cortex bone disorders","Projection Defense Mechanism","7"
"Pituitary Gland","Depressive disorder","Stress","7"
"Cerebral cortex","Mild cognitive disorder","Mental association","7"
"Temporal Lobe","cortex bone disorders","Memory","7"
"Cerebral cortex","Spinal Cord Diseases","Like","7"
"Neostriatum","cortex bone disorders","Impaired cognition","7"
"Central insular sulcus","Depressive disorder","DEPRESSION MENTAL","7"
"CA3 field","Depressive disorder","Stress","7"
"BRAIN, HIPPOCAMPUS","Depressive disorder","Cognition","7"
"Entire lateral geniculate body","Retinal Diseases","Projection Defense Mechanism","7"
"Pyramidal Cells","cortex bone disorders","Psychological inhibition","7"
"CA1 field","Alzheimer's Disease","Memory","7"
"Nucleus Accumbens","Functional disorder","Social Role","7"
"Structure of locus ceruleus","cortex bone disorders","Projection Defense Mechanism","7"
"Interpeduncular nucleus","Syndrome, Bloch-Sulzberger","Mental concentration","7"
"BRAIN, HIPPOCAMPUS","Psychotic Disorders","Hyperactive behavior","7"
"Cerebral hemisphere structure (body structure)","Alzheimer's Disease","Like","7"
"Ventral Tegmental Area","Recurrent disease","Projection Defense Mechanism","7"
"Globus Pallidus","Depressive disorder","DEPRESSION MENTAL","7"
"Cerebral cortex","cortex bone disorders","Learning","7"
"BRAIN, HIPPOCAMPUS","Depressive disorder","Involvement with","7"
"Genus Hippocampus","Alzheimer's Disease","Amnesia","7"
"Visual Cortex","Depressive disorder","DEPRESSION MENTAL","7"
"Lateral habenular nucleus","Depressive disorder","Anxiety","7"
