"protein","disease","count"
"Amyloid beta-Protein Precursor","neuropathology disease","21"
"Clusterin","Alzheimer's Disease","21"
"Glial Fibrillary Acidic Protein","Alzheimer's Disease","21"
"Somatostatin","Functional disorder","21"
"Complex, Multicatalytic Endopeptidase","Parkinson Disease","21"
"Receptor","Autistic Disorder","21"
"HCRT Gene","Narcolepsy-Cataplexy Syndrome","21"
"Curcumin","Neurotoxicity Syndromes","21"
"Histone Deacetylase","Neurodegenerative Disorders","21"
"Caspase-3","Fetal Alcohol Syndrome","21"
"Receptor 5, Metabotropic Glutamate","cortex bone disorders","21"
"Proteins","Pituitary Diseases","21"
"Vasopressin (USP)","Pituitary Diseases","21"
"Amyloid Proteins","Familial Alzheimer Disease (FAD)","21"
"tau Proteins","Disease Progression","21"
"Amyloid Proteins","Lewy Body Disease","21"
"Gonadotropin-Releasing Hormone Receptor","Pituitary Diseases","21"
"Membrane Transport Proteins","Functional disorder","21"
"Amyloid","Familial Alzheimer Disease (FAD)","21"
"APP protein, human","Lewy Body Disease","21"
"myelination","DISORDERS OF THE OPTIC NERVE","21"
"Calretinin","Retinal Diseases","21"
"Factor, Transcription","Parkinson Disease","21"
"Dopamine D2 Receptor","Parkinson Disease","21"
"Calcium","Parkinson Disease","21"
"Membrane Transport Proteins","Depressive disorder","20"
"Curcumin","Neurodegenerative Disorders","20"
"Acetylcholinesterase Inhibitors","Alzheimer's Disease","20"
"Collagen","Spinal Cord Diseases","20"
"Growth Associated Protein 43","cortex bone disorders","20"
"Nerve Growth Factors","Neurotoxicity Syndromes","20"
"myelination","Disease Progression","20"
"Homocysteine","Neurotoxicity Syndromes","20"
"Melanins","Parkinson Disease","20"
"Receptor","Recurrent disease","20"
"Galanin","Pituitary Diseases","20"
"N-Methylaspartate","Parkinson Disease","20"
"GTP-Binding Proteins","Gardner Syndrome","20"
"Calcium-Binding Proteins","cortex bone disorders","20"
"Enzymes","Lysosomal Storage Diseases","20"
"Serine","Alzheimer's Disease","20"
"PARK2 protein, human","Functional disorder","20"
"KISS1 protein, human","Polycystic Ovary Syndrome","20"
"Amyloid","Lewy Body Disease","20"
"myelination","Functional disorder","20"
"Genes","Prader-Willi Syndrome","20"
"Antibodies","Neurotoxicity Syndromes","20"
"Proteins","Motor Neuron Disease","20"
"Receptors, Corticotropin-Releasing Hormone","Pituitary Diseases","20"
"Protein phosphatase","Alzheimer's Disease","20"
"Scaffold protein","Autism Spectrum Disorders","20"
"Phosphotransferases","Neurodegenerative Disorders","20"
"Proteins","Communicable Diseases","20"
"Proteolytic Enzyme","Alzheimer's Disease","20"
"Neuropeptides","Depressive disorder","20"
"protein TDP-43","Neurotoxicity Syndromes","20"
"Tumor Necrosis Factors","Alzheimer's Disease","20"
"CNTNAP2 protein, human","Pervasive Development Disorder","20"
"Methylene blue","Feline urological syndrome","20"
"Protein Isoforms","Prion Diseases","20"
"Phosphotransferases","cortex bone disorders","19"
"HD protein, human","Hereditary Diseases","19"
"Parvalbumins","Pervasive Development Disorder","19"
"Deprenyl","Parkinson Disease","19"
"Tyrosine 3-Monooxygenase","Renal glomerular disease","19"
"Immune Sera","Alzheimer's Disease","19"
"Y, Neuropeptide","Depressive disorder","19"
"Nitric Oxide Synthase Type I","cortex bone disorders","19"
"HD protein, human","neuropathology disease","19"
"Parvalbumins","Bipolar Disorder","19"
"Peptides","Parkinson Disease","19"
"Amyloid","Syndrome","19"
"Aquaporin 4","cortex bone disorders","19"
"Enzymes","Disease Progression","19"
"Tumor Necrosis Factors","Functional disorder","19"
"Calcitonin Gene-Related Peptide","Sensitization (disorder)","19"
"Parvalbumins","Autism Spectrum Disorders","19"
"alpha 1-Antichymotrypsin","Alzheimer's Disease","19"
"Major Prion Protein","Creutzfeldt-Jakob Disease, Sporadic","19"
"Phosphotransferases","Neurotoxicity Syndromes","19"
"Glutamate Receptor","Functional disorder","19"
"Receptor","Lung diseases","19"
"Tacrine","Alzheimer's Disease","19"
"Glutamine","Huntington Disease","19"
"Myelin","Disorders, Mental","19"
"Gonadorelin","Ovarian Diseases","19"
"Leptin","Alzheimer's Disease","19"
"Cyclic AMP-Dependent Protein Kinases","Depressive disorder","19"
"Superoxide Dismutase","Neurotoxicity Syndromes","19"
"Growth Associated Protein 43","Spinal Cord Diseases","19"
"Serotonin","Pervasive Development Disorder","19"
"Receptor","Pervasive Development Disorder","19"
"Abnormal protein","Alzheimer's Disease","19"
"Heat-Shock Proteins 70","cortex bone disorders","19"
"Proteins","Shwachman syndrome","19"
"LCN2 protein, human","Neurotoxicity Syndromes","19"
"Cathepsin D","Alzheimer's Disease","19"
"Angiotensins","Hypertensive disease","19"
"Protein Isoforms","Disorder nervous system","19"
"Cyclic AMP-Responsive DNA-Binding Protein","cortex bone disorders","19"
"Serotonin","Pituitary Diseases","18"
"Transporter, Serotonin","Depressive disorder","18"
"Factor, Transcription","Functional disorder","18"
"Molecular Chaperones","Neurodegenerative Disorders","18"
"Aquaporin 4","Spinal Cord Diseases","18"
"Neuropeptides","Skin endocrine disorder","18"
"orexins","Hypertensive disease","18"
"DNA, Mitochondrial","Parkinson Disease","18"
"Protein Subunits","Neurotoxicity Syndromes","18"
"Human Leukocyte Interferon","Virus Diseases","18"
"Oxytocin","Pervasive Development Disorder","18"
"Opsins","Retinal Diseases","18"
"Protein Kinase C","Neurotoxicity Syndromes","18"
"Tyrosine 3-Monooxygenase","Retinal Diseases","18"
"Peroxisome Proliferator-Activated Receptors","Neurodegenerative Disorders","18"
"Genes","Machado-Joseph Disease","18"
"Serotonin","Retinal Diseases","18"
"Brain-Derived Neurotrophic Factor","Mood Disorders","18"
"Ubiquitin","Syndrome","18"
"Granulocyte-Macrophage Colony-Stimulating Factor","Disorder nervous system","18"
"Serine","Parkinson Disease","18"
"HD protein, human","Depressive disorder","18"
"Transporter, Dopamine","Parkinsonian Disorders","18"
"Fragile X Mental Retardation Protein","Functional disorder","18"
"Protein Isoforms","Parkinson Disease","18"
"Amyloid beta-Protein Precursor","Neurodegenerative Disorders","18"
"PTEN protein, human","Parkinson Disease","18"
"Interleukin-1","Van der Woude syndrome","18"
"Nerve Growth Factor","Neurotoxicity Syndromes","18"
"GABA-B Receptor","Depressive disorder","18"
"Membrane Transport Proteins","Neurodegenerative Disorders","18"
"Recombinant Corticotropin","Pituitary Diseases","17"
"Butyrylcholinesterase","Alzheimer's Disease","17"
"tropomyosin-related kinase-B, human","Functional disorder","17"
"DNA, Complementary","Retinal Diseases","17"
"Nitric Oxide Synthase Type I","Neurotoxicity Syndromes","17"
"Actins","Alzheimer's Disease","17"
"tropomyosin-related kinase-B, human","Retinal Diseases","17"
"RNA-Binding Proteins","Functional disorder","17"
"Calcium","Disease Progression","17"
"Adrenergic Receptor","Depressive disorder","17"
"SH3 and Multiple Ankyrin Repeat Domains Protein 3","Autistic Disorder","17"
"HCRT Gene","Hypertensive disease","17"
"Interleukin-1","Alzheimer's Disease","17"
"Parvalbumins","Autistic Disorder","17"
"Glial Fibrillary Acidic Protein","DISORDERS OF THE OPTIC NERVE","17"
"Protein Isoforms","Functional disorder","17"
"Glucose","Depressive disorder","17"
"Receptor","CNS disorder","17"
"Proteins","Disorder of pineal gland","17"
"Lysosomal enzyme","Lysosomal Storage Diseases","17"
"TM4SF1 protein, human","Spinal Cord Diseases","17"
"Brain-Derived Neurotrophic Factor","DISORDERS OF THE OPTIC NERVE","17"
"Wheat Germ Agglutinins","cortex bone disorders","17"
"HP protein, human","Hamartoma Syndrome, Multiple","17"
"Myelin","Shy-Drager Syndrome","17"
"Antibodies","Autoimmune Diseases","17"
"Glycosaminoglycans","Hamartoma Syndrome, Multiple","17"
"Protein Subunits","Parkinson Disease","17"
"Angiotensins","Macrophage Activation Syndrome","17"
"Gonadorelin","Skin endocrine disorder","17"
"Corticotropin-Releasing Hormone","Spinal Cord Diseases","17"
"Folic Acid","Alzheimer's Disease","17"
"Genes","Gilles de la Tourette syndrome","17"
"Aminoglutethimide","Nail-Patella Syndrome","17"
"Receptor","Thyroid Diseases","17"
"Major Prion Protein","Neurotoxicity Syndromes","17"
"GNRH1 protein, human","Pituitary Diseases","17"
"Nitric Oxide Synthase","Spinal Cord Diseases","17"
"Adenylate Cyclase","Pituitary Diseases","17"
"Methyl-CpG-Binding Protein 2","cortex bone disorders","17"
"Colony-Stimulating Factors","Disorder nervous system","17"
"DNA, Mitochondrial","Mitochondrial Diseases","17"
"tau Proteins","neuropathology disease","17"
"Angiotensins","Meconium Aspiration Syndrome","17"
"Undecaprenyl-phosphate galactose-phosphotransferase","Milroy Disease","17"
"Protein Precursors","Alzheimer's Disease","17"
"PTEN protein, human","Pervasive Development Disorder","17"
"Protein Subunits","Syndrome","17"
"alpha-Melanocyte stimulating hormone","Pituitary Diseases","17"
"Autoantibodies","Stiff-Person Syndrome","17"
"Proteins","Creutzfeldt-Jakob disease","17"
"Corticotropin-Releasing Hormone","cortex bone disorders","17"
"Growth Factor","Alzheimer's Disease","17"
"Y, Neuropeptide","Spinal Cord Diseases","17"
"Protein Kinase C","Alzheimer's Disease","17"
"tropomyosin-related kinase-B, human","Spinal Cord Diseases","17"
"Angiotensins","McCune-Albright Syndrome","17"
"Glutamate Receptor","Neurodegenerative Disorders","16"
"Superoxide Dismutase","cortex bone disorders","16"
"Wheat Germ Agglutinin-Horseradish Peroxidase Conjugate","Spinal Cord Diseases","16"
"Cyclin-Dependent Kinase 5","Alzheimer's Disease","16"
"Receptor","Fragile X Syndrome","16"
"NFIC protein, human","Alzheimer's Disease","16"
"Rhodopsin","Disorder of pineal gland","16"
"Retinaldehyde","Alzheimer's Disease","16"
"RELN protein, human","Alzheimer's Disease","16"
"Pituitary Adenylate Cyclase Activating Polypeptide","Pituitary Diseases","16"
"Chromatin","cortex bone disorders","16"
"NOS1 protein, human","Neurotoxicity Syndromes","16"
"Dopa","Parkinsonian Disorders","16"
"Somatostatin","Bipolar Disorder","16"
"NADP","Spinal Cord Diseases","16"
"Cloning Vectors","cortex bone disorders","16"
"Vascular Endothelial Growth Factor A","cortex bone disorders","16"
"Polypeptides","Alzheimer's Disease","16"
"Immunoglobulins","Syndrome","16"
"Leptin","Functional disorder","16"
"Apolipoprotein E","Functional disorder","16"
"Mitogen-Activated Protein Kinases","cortex bone disorders","16"
"Protein Subunits","Neurodegenerative Disorders","16"
"PARK2 protein, human","Neurotoxicity Syndromes","16"
"Growth Factor","cortex bone disorders","16"
"Cell Adhesion Molecules","Autism Spectrum Disorders","16"
"HD protein, human","Movement Disorders","16"
"Somatostatin","Sweet Syndrome","16"
"Opsins","Disorder of pineal gland","16"
"Calcitonin Gene-Related Peptide","Functional disorder","16"
"Nerve Growth Factors","Disorder nervous system","16"
"P53 Protein","Neurotoxicity Syndromes","16"
"Dopamine D2 Receptor","Functional disorder","16"
"protein TDP-43","Disease Progression","16"
"GABA Receptor","Depressive disorder","16"
"Prions","Creutzfeldt-Jakob Disease, Sporadic","16"
"Glutamate Decarboxylase","Stiff-Person Syndrome","16"
"Tyrosine 3-Monooxygenase","Parkinsonian Disorders","16"
"YWHAQ protein, human","Neurodegenerative Disorders","16"
"Glutathione","Neurotoxicity Syndromes","16"
"Basement Membrane-Specific Heparan Sulfate Proteoglycan Core Protein","Syndrome, Bloch-Sulzberger","16"
"NFIA protein, human","Alzheimer's Disease","16"
"Serotonin","Syndrome, Bloch-Sulzberger","16"
"Argipressin","Hypertensive disease","16"
"NFIX protein, human","Alzheimer's Disease","16"
"HCRT protein, human","Hypertensive disease","16"
"Serotonin","Autism Spectrum Disorders","16"
"AMP-Activated Protein Kinases","Alzheimer's Disease","16"
"Corticotropin-Releasing Hormone","Alzheimer's Disease","16"
"Antibodies","Psychotic Disorders","16"
"Gamma-Enolase","Functional disorder","16"
"Autoantibodies","Functional disorder","16"
"1-Phosphatidylinositol 3-Kinase","Neurotoxicity Syndromes","16"
"Rod Opsins","Disorder of pineal gland","16"
"NFI Transcription Factors","Alzheimer's Disease","16"
"Brain-Derived Neurotrophic Factor","Brain Diseases","16"
"Parvalbumins","Retinal Diseases","16"
"Semaphorin-3A","Spinal Cord Diseases","16"
"Mitogen-Activated Protein Kinases","Functional disorder","16"
"NFIB protein, human","Alzheimer's Disease","16"
"Transporter, Dopamine","Functional disorder","16"
"Interleukin-6","Alzheimer's Disease","16"
"N-Methylaspartate","Disorder nervous system","16"
"Receptor","Hamartoma Syndrome, Multiple","15"
"N-Methylaspartate","Huntington Disease","15"
"Fragile X Mental Retardation Protein","Pervasive Development Disorder","15"
"Calcium","Retinal Diseases","15"
"protein TDP-43","neuropathology disease","15"
"Glutamate Receptor","cortex bone disorders","15"
"Aspartoacylase","Canavan Disease","15"
"INSR protein, human","Disorder of pineal gland","15"
"Receptor","Syndrome","15"
"DNA, Complementary","Liver diseases","15"
"Glutamate Receptor","Depressive disorder","15"
"Receptors, Metabotropic Glutamate","Fragile X Syndrome","15"
"Receptor","Skin endocrine disorder","15"
"Tyrosine 3-Monooxygenase","Disorder of pineal gland","15"
"Presynaptic Density Protein 95","cortex bone disorders","15"
"Somatostatin","Huntington Disease","15"
"Neprilysin","Alzheimer's Disease","15"
"Delta-Like Protein 1, human","cortex bone disorders","15"
"Prions","neuropathology disease","15"
"Phosphotransferases","Disease Progression","15"
"Membrane Transport Proteins","Alzheimer's Disease","15"
"Antibodies","Neurodegenerative Disorders","15"
"Antibodies","Shwachman syndrome","15"
"Hypoxanthine Phosphoribosyltransferase","Lesch-Nyhan Syndrome","15"
"Coenzyme I","Neurodegenerative Disorders","15"
"Glucose","Disease Progression","15"
"Autoantibodies","Autoimmune Diseases","15"
"sialosyl-Tn antigen","Parkinson Disease","15"
"Amyloid beta-Protein Precursor","Spinal Cord Diseases","15"
"Caspase 8","Fetal Alcohol Syndrome","15"
"Proteins","Nail-Patella Syndrome","15"
"Simvastatin","Alzheimer's Disease","15"
"Sodium Glutamate","Neurotoxicity Syndromes","15"
"Monoamine Oxidase","Parkinson Disease","15"
"Insulin-Like Growth Factor I","Dysequilibrium syndrome","15"
"Genes","Cognition Disorders","15"
"Receptors, Odorant","Renal glomerular disease","15"
"SH3 and Multiple Ankyrin Repeat Domains Protein 3","22q13.3 Deletion Syndrome","15"
"Interleukin-6","Neurotoxicity Syndromes","15"
"Cytochrome P450","Liver diseases","15"
"Antibodies","Lewy Body Disease","15"
"Synucleins","Spinal Cord Diseases","15"
"Tumor Necrosis Factors","Depressive disorder","15"
"Peptides","Depressive disorder","15"
"Dyes","Retinal Diseases","15"
"Cytokine","Virus Diseases","15"
"Somatostatin","Depressive disorder","15"
"Artemin, human","Alzheimer's Disease","15"
"Muscarinic Acetylcholine Receptor","cortex bone disorders","15"
"Immune Sera","Retinal Diseases","15"
"Nerve Growth Factors","Depressive disorder","15"
"Proto-Oncogene Proteins c-akt","cortex bone disorders","15"
"Proteins","Parkinsonian Disorders","15"
"Proteins","Mild cognitive disorder","15"
"Protein Kinases","Alzheimer's Disease","15"
"Microtubule-Associated Proteins","Spinal Cord Diseases","15"
"Synucleins","Movement Disorders","15"
"Thyrotropin-Releasing Hormone","Spinal Cord Diseases","15"
"Muscarinic Acetylcholine Receptor","Alzheimer's Disease","15"
"Thyrotropin","Pituitary Diseases","15"
"HCRT Gene","Spinal Cord Diseases","15"
"Caspase-3","Alzheimer's Disease","15"
"Substance P","Retinal Diseases","15"
"Glutamate Receptor","Disorder nervous system","15"
"Glutamate Receptor","Spinal Cord Diseases","15"
"Neurotrophic Factor","Disease Progression","15"
"Interleukins","cortex bone disorders","15"
"BECN1 protein, human","cortex bone disorders","15"
"Dystrophin","Alzheimer's Disease","15"
"Estrogen Receptors","Neurotoxicity Syndromes","15"
"Corticotropin-Releasing Hormone","Sensitization (disorder)","15"
"Adenylate Cyclase","Gardner Syndrome","15"
"Cloning Vectors","Neurodegenerative Disorders","14"
"Chloramphenicol O-Acetyltransferase","Leigh Disease","14"
"Prions","Functional disorder","14"
"Complex, Multicatalytic Endopeptidase","Alzheimer's Disease","14"
"Phosphoinositide-3-Kinase, Catalytic, Beta Polypeptide","Neurotoxicity Syndromes","14"
"Receptor, Cannabinoid, CB1","Depressive disorder","14"
"Interleukin-4","Van der Woude syndrome","14"
"Somatropin","Pituitary Diseases","14"
"PTEN protein, human","Autism Spectrum Disorders","14"
"Arylalkylamine N-Acetyltransferase","Disorder of pineal gland","14"
"Wheat Germ Agglutinins","Spinal Cord Diseases","14"
"INSR protein, human","Alzheimer's Disease","14"
"Microtubule-Associated Proteins","Neurodegenerative Disorders","14"
"PIK3CA protein, human","Neurotoxicity Syndromes","14"
"Cytoskeletal Proteins","Alzheimer's Disease","14"
"Glial Fibrillary Acidic Protein","Hypertrophic disorder of skin, unspecified","14"
"Immune Sera","Pituitary Diseases","14"
"Amylin","Alzheimer's Disease","14"
"Polyclonal antibody","Alzheimer's Disease","14"
"angiotensin converting enzyme 2","McCune-Albright Syndrome","14"
