"brainregion","disease","protein","count"
"BRAIN, HIPPOCAMPUS","cortex bone disorders","Cytokine","9"
"Structure of angular gyrus","McCune-Albright Syndrome","angiotensin converting enzyme 2","9"
"Posterior cerebral commissure","Depressive disorder","PODXL protein, human","9"
"Corpus striatum structure","Van der Woude syndrome","IRF6 wt Allele","9"
"Genus Hippocampus","cortex bone disorders","Cytokine","9"
"BRAIN, HIPPOCAMPUS","cortex bone disorders","Superoxide Dismutase","9"
"Structure of olfactory bulb","Renal glomerular disease","Tyrosine 3-Monooxygenase","9"
"Cerebral hemisphere structure (body structure)","Parkinson Disease","Neurotrophic Factor","9"
"Structure of nucleus prepositus","Communicable Diseases","Protein Isoforms","9"
"Bundle, Predorsal","Alzheimer's Disease","APP protein, human","9"
"Anterodorsal nucleus of thalamus","Alzheimer's Disease","NFIA protein, human","9"
"Pituitary Gland","Pituitary Diseases","Cytokine","9"
"Nucleus fastigii","Fetal Alcohol Syndrome","CD95 Antigens","9"
"Neocortex","Alzheimer's Disease","Amyloid","9"
"Pituitary Gland","Pituitary Diseases","Appetite-Regulating Hormone","9"
"Cerebral cortex","Fragile X Syndrome","Fragile X Mental Retardation Protein","9"
"BRAIN, HIPPOCAMPUS","cortex bone disorders","Methyl-CpG-Binding Protein 2","9"
"Paracentral Thalamic Nucleus","Depressive disorder","PODXL protein, human","9"
"Interpeduncular nucleus","Syndrome, Bloch-Sulzberger","Phosphotransferases","9"
"Anterodorsal nucleus of thalamus","Alzheimer's Disease","Prealbumin","9"
"Neostriatum","Van der Woude syndrome","IRF6 wt Allele","9"
"Structure of angular gyrus","Macrophage Activation Syndrome","angiotensin converting enzyme 2","9"
"Cerebral hemisphere structure (body structure)","Alzheimer's Disease","Amyloid beta-Protein Precursor","9"
"BRAIN, HIPPOCAMPUS","Pituitary Diseases","Glucocorticoid Receptor","9"
"Paracentral Thalamic Nucleus","Sweet Syndrome","PODXL protein, human","9"
"Hypothalamic structure","Pituitary Diseases","KISS1 protein, human","9"
"Entire lateral geniculate body","Retinal Diseases","Chloramphenicol O-Acetyltransferase","9"
"Substantia nigra structure","Parkinson Disease","Brain-Derived Neurotrophic Factor","9"
"Anterodorsal nucleus of thalamus","Alzheimer's Disease","Green Fluorescent Proteins","9"
"Cerebral cortex","Pervasive Development Disorder","Genes","9"
"Midbrain structure","Parkinson Disease","alpha-Synuclein","9"
"Brain Stem","Sudden infant death syndrome","Serotonin","9"
"Pituitary Gland","Pituitary Diseases","GNRH2 protein, human","9"
"Anterodorsal nucleus of thalamus","Alzheimer's Disease","NFIB protein, human","9"
"Anterodorsal nucleus of thalamus","Alzheimer's Disease","NFIC protein, human","9"
"Anterodorsal nucleus of thalamus","Alzheimer's Disease","NFI Transcription Factors","9"
"BRAIN, HIPPOCAMPUS","Neurotoxicity Syndromes","Amyloid","9"
"Anterodorsal nucleus of thalamus","Neurotoxicity Syndromes","Peptides","9"
"Genus Hippocampus","Depressive disorder","Serotonin","9"
"Hypothalamic Area, Lateral","Polycystic Ovary Syndrome","Luteinizing Hormone","9"
"Substantia nigra structure","Parkinson Disease","Melanins","9"
"Corpus striatum structure","cortex bone disorders","Dopamine and cAMP-Regulated Phosphoprotein 32","9"
"BRAIN, HIPPOCAMPUS","Functional disorder","Amyloid Proteins","9"
"Anterodorsal nucleus of thalamus","Alzheimer's Disease","Neuropeptides","9"
"Pituitary Gland","Pituitary Diseases","Metastin","9"
"Structure of angular gyrus","Meconium Aspiration Syndrome","angiotensin converting enzyme 2","9"
"Interpeduncular nucleus","Syndrome, Bloch-Sulzberger","Receptor, Inositol-1,4,5-triphosphate","9"
"Neostriatum","Parkinson Disease","HD protein, human","9"
"Cerebral cortex","Neurotoxicity Syndromes","Peptides","9"
"Corticotroph","Pituitary Diseases","Corticotropin","9"
"Corpus striatum structure","Huntington Disease","Proteins","9"
"Pituitary Gland","Pituitary Diseases","FMRFamide","9"
"Genus Hippocampus","Depressive disorder","Proteins","9"
"Pituitary Gland","Pituitary Diseases","HCRT Gene","9"
"Neostriatum","cortex bone disorders","Dopamine and cAMP-Regulated Phosphoprotein 32","9"
"BRAIN, HIPPOCAMPUS","Fetal Alcohol Syndrome","Caspase-3","9"
"Brain Stem","Spinal Cord Diseases","Genes","8"
"BRAIN, HIPPOCAMPUS","cortex bone disorders","Interleukin-10","8"
"BRAIN, HIPPOCAMPUS","Disease Progression","APP protein, human","8"
"Substantia nigra structure","Neurodegenerative Disorders","Synucleins","8"
"Corpus striatum structure","cortex bone disorders","Brain-Derived Neurotrophic Factor","8"
"Structure of angular gyrus","Neurotoxicity Syndromes","Aminoglutethimide","8"
"CA1 field","Van der Woude syndrome","IRF6 wt Allele","8"
"Genus Hippocampus","Alzheimer's Disease","Brain-Derived Neurotrophic Factor","8"
"BRAIN, HIPPOCAMPUS","cortex bone disorders","Proto-Oncogene Proteins c-akt","8"
"Prefrontal Cortex","Functional disorder","Parvalbumins","8"
"Central Dorsal Nucleus","Hamartoma Syndrome, Multiple","Genes","8"
"Genus Hippocampus","cortex bone disorders","Interleukins","8"
"Pyramidal Cells","cortex bone disorders","Parvalbumins","8"
"Neostriatum","cortex bone disorders","Choline O-Acetyltransferase","8"
"Neostriatum","Functional disorder","HD protein, human","8"
"Anterodorsal nucleus of thalamus","Alzheimer's Disease","Plasmin","8"
"Thalamic structure","cortex bone disorders","Cancer/Testis Antigen","8"
"Entire Brodmann areas 17 (striate cortex), 18 (parastriate cortex) and 19 (peristriate cortex) of occipital lobe","cortex bone disorders","Chloramphenicol O-Acetyltransferase","8"
"Caudate nucleus structure","Hamartoma Syndrome, Multiple","Genes","8"
"Cerebral cortex","Spinal Cord Diseases","Proteins","8"
"Structure of pars intermedia of pituitary gland","Pituitary Diseases","Poly ADP Ribose Polymerase","8"
"Temporal Lobe","Alzheimer's Disease","APP protein, human","8"
"Anterodorsal nucleus of thalamus","Alzheimer's Disease","Cyclic AMP-Responsive DNA-Binding Protein","8"
"Pituitary Gland","Pituitary Diseases","INSR protein, human","8"
"BRAIN, HIPPOCAMPUS","cortex bone disorders","Protein Kinase C","8"
"Cerebral cortex","Neurotoxicity Syndromes","Receptor","8"
"Genus Hippocampus","cortex bone disorders","Methyl-CpG-Binding Protein 2","8"
"Brain Stem","Spinal Cord Diseases","Horseradish Peroxidase","8"
"BRAIN, HIPPOCAMPUS","cortex bone disorders","Interleukins","8"
"Pituitary Gland","Pituitary Diseases","N-Methylaspartate","8"
"Genus Hippocampus","cortex bone disorders","Superoxide Dismutase","8"
"Bundle, Predorsal","Alzheimer's Disease","Amyloid Proteins","8"
"Genus Hippocampus","cortex bone disorders","Serine","8"
"Cerebellum","cortex bone disorders","Receptor","8"
"Anterodorsal nucleus of thalamus","Alzheimer's Disease","Serotonin","8"
"Visual Cortex","cortex bone disorders","Chloramphenicol O-Acetyltransferase","8"
"Bundle, Predorsal","Alzheimer's Disease","Proteins","8"
"Cerebral cortex","cortex bone disorders","Acetylcholinesterase","8"
"Anterodorsal nucleus of thalamus","Parkinson Disease","Synucleins","8"
"Neostriatum","cortex bone disorders","Tyrosine 3-Monooxygenase","8"
"Structure of central sulcus","Hamartoma Syndrome, Multiple","Proteins","8"
"Brain Stem","cortex bone disorders","Serotonin","8"
"Anterodorsal nucleus of thalamus","Alzheimer's Disease","Synaptophysin","8"
"Cerebral cortex","Functional disorder","Genes","8"
"Corpus striatum structure","cortex bone disorders","Choline O-Acetyltransferase","8"
"Midbrain structure","Parkinson Disease","Neurotrophic Factor","8"
"BRAIN, HIPPOCAMPUS","Neurodegenerative Disorders","Amyloid Proteins","8"
"Pituitary Gland","Pituitary Diseases","Fibroblast Growth Factor 2","8"
"Cerebral cortex","cortex bone disorders","Somatostatin","8"
"BRAIN, HIPPOCAMPUS","Neurodegenerative Disorders","APP protein, human","8"
"Hypothalamic structure","Polycystic Ovary Syndrome","KISS1 protein, human","8"
"Bundle, Predorsal","Neurodegenerative Disorders","alpha-Synuclein","8"
"Pars Compacta","Neurodegenerative Disorders","Synucleins","8"
"Hypothalamic structure","Pituitary Diseases","Y, Neuropeptide","8"
"Corpus striatum structure","Functional disorder","HD protein, human","8"
"Nucleus Basalis Magnocellularis","cortex bone disorders","Choline O-Acetyltransferase","8"
"Genus Hippocampus","cortex bone disorders","Cyclic AMP-Responsive DNA-Binding Protein","8"
"Cerebellum","Neurotoxicity Syndromes","N-Methylaspartate","8"
"BRAIN, HIPPOCAMPUS","Neurodegenerative Disorders","Amyloid","8"
"Cerebral cortex","Alzheimer's Disease","Acetylcholinesterase","8"
"Structure of nucleus prepositus","Creutzfeldt-Jakob disease","Major Prion Protein","8"
"BRAIN, HIPPOCAMPUS","Depressive disorder","Genes","8"
"Anterodorsal nucleus of thalamus","Alzheimer's Disease","Neprilysin","8"
"Anterodorsal nucleus of thalamus","Alzheimer's Disease","Cloning Vectors","8"
"Bundle, Predorsal","Lewy Body Disease","alpha-Synuclein","8"
"Brain Stem","Spinal Cord Diseases","N-Methylaspartate","8"
"Anterodorsal nucleus of thalamus","Functional disorder","Amyloid beta-Protein Precursor","8"
"BRAIN, HIPPOCAMPUS","cortex bone disorders","Cyclic AMP-Responsive DNA-Binding Protein","8"
"Neostriatum","Huntington Disease","Proteins","8"
"Bundle, Predorsal","Alzheimer's Disease","Amyloid","8"
"Cerebral cortex","Alzheimer's Disease","Somatostatin","8"
"Genus Hippocampus","cortex bone disorders","Interleukin-10","8"
"Pyramidal Cells","cortex bone disorders","Chloramphenicol O-Acetyltransferase","8"
"Nucleus fastigii","Fetal Alcohol Syndrome","Tumor Necrosis Factors","8"
"Pituitary Gland","Pituitary Diseases","Cholecystokinin","8"
"Posterior cerebral commissure","Huntington Disease","PODXL protein, human","8"
"Genus Hippocampus","cortex bone disorders","Proto-Oncogene Proteins c-akt","8"
"Paracentral Thalamic Nucleus","Huntington Disease","PODXL protein, human","8"
"BRAIN, HIPPOCAMPUS","Functional disorder","Amyloid","8"
"Thalamic structure","Parkinson Disease","Tyrosine 3-Monooxygenase","8"
"BRAIN, HIPPOCAMPUS","Syndrome, Bloch-Sulzberger","Receptor","8"
"BRAIN, HIPPOCAMPUS","cortex bone disorders","Insulin","8"
"Median eminence of hypothalamus","Pituitary Diseases","Prolactin","8"
"Anterodorsal nucleus of thalamus","Alzheimer's Disease","Choline O-Acetyltransferase","8"
"Gonadotrophs","Pituitary Diseases","Gonadotropin-Releasing Hormone Receptor","8"
"Genus Hippocampus","cortex bone disorders","Insulin","8"
"Anterodorsal nucleus of thalamus","Alzheimer's Disease","Alkaline Phosphatase","8"
"Pituitary Gland","Pituitary Diseases","Ghrelin","8"
"BRAIN, HIPPOCAMPUS","cortex bone disorders","Serine","8"
"BRAIN, HIPPOCAMPUS","Depressive disorder","Protein Subunits","8"
"Pituitary Gland","Ovarian Diseases","Gonadorelin","8"
"Structure of locus ceruleus","Depressive disorder","Corticotropin-Releasing Hormone","8"
"Neostriatum","cortex bone disorders","Brain-Derived Neurotrophic Factor","8"
"Anterodorsal nucleus of thalamus","Alzheimer's Disease","Mitogen-Activated Protein Kinases","8"
"Anterodorsal nucleus of thalamus","Alzheimer's Disease","Protein Subunits","8"
"Interpeduncular nucleus","Syndrome, Bloch-Sulzberger","Enzymes","8"
"Hypothalamic structure","Pituitary Diseases","Genes","8"
"Cerebral cortex","cortex bone disorders","Choline O-Acetyltransferase","8"
"Corpus striatum structure","cortex bone disorders","Tyrosine 3-Monooxygenase","8"
"Pituitary Gland","Pituitary Diseases","Antibodies","8"
"Nucleus fastigii","Fetal Alcohol Syndrome","Dynamin GTPase","8"
"Anterodorsal nucleus of thalamus","Alzheimer's Disease","Migration Inhibitory Factor","8"
"Structure of nucleus prepositus","Disease Progression","Major Prion Protein","7"
"Corpus striatum structure","cortex bone disorders","Nerve Growth Factor","7"
"Paracentral Thalamic Nucleus","Chronic Fatigue Syndrome","PODXL protein, human","7"
"Corpus striatum structure","cortex bone disorders","Protein Subunits","7"
"Pituitary Gland","Pituitary Diseases","Nerve Growth Factor","7"
"Nucleus fastigii","Fetal Alcohol Syndrome","Tumor Necrosis Factor-alpha","7"
"Cerebral hemisphere structure (body structure)","Alzheimer's Disease","Peptides","7"
"Neostriatum","cortex bone disorders","Somatostatin","7"
"Cerebral cortex","Alzheimer's Disease","Parvalbumins","7"
"Corpus striatum structure","cortex bone disorders","Glial Cell Line-Derived Neurotrophic Factor","7"
"Temporal Lobe","Alzheimer's Disease","Amyloid","7"
"Genus Hippocampus","Pituitary Diseases","Glucocorticoid Receptor","7"
"Bundle, Predorsal","Neurodegenerative Disorders","Amyloid","7"
"Corpus striatum structure","Neurotoxicity Syndromes","HD protein, human","7"
"CA1 field","Alzheimer's Disease","APP protein, human","7"
"Substantia nigra structure","Parkinson Disease","Antibodies","7"
"Genus Hippocampus","cortex bone disorders","BECN1 protein, human","7"
"Pyramidal Cells","cortex bone disorders","Horseradish Peroxidase","7"
"BRAIN, HIPPOCAMPUS","Van der Woude syndrome","Tumor Necrosis Factors","7"
"Somatotrophs","Pituitary Diseases","Somatotropin-Releasing Hormone","7"
"BRAIN, HIPPOCAMPUS","cortex bone disorders","Immunoglobulins","7"
"Anterodorsal nucleus of thalamus","Alzheimer's Disease","sphingosine kinase-1","7"
"BRAIN, HIPPOCAMPUS","Alzheimer's Disease","protein TDP-43","7"
"Cerebral cortex","cortex bone disorders","Horseradish Peroxidase","7"
"Midbrain structure","Parkinson Disease","Glial Cell Line-Derived Neurotrophic Factor","7"
"Corpus striatum structure","Parkinson Disease","Proteins","7"
"Anterodorsal nucleus of thalamus","Alzheimer's Disease","Heat-Shock Proteins 70","7"
"Pituitary Gland","Pituitary Diseases","Peroxidases","7"
"Corpus striatum structure","Parkinson Disease","Nerve Growth Factors","7"
"Temporal Lobe","Alzheimer's Disease","Amyloid Proteins","7"
"BRAIN, HIPPOCAMPUS","Fragile X Syndrome","Fragile X Mental Retardation Protein","7"
"Medulla Oblongata","Spinal Cord Diseases","Substance P","7"
"Cerebellum","Retinal Diseases","Proteins","7"
"BRAIN, HIPPOCAMPUS","Neurotoxicity Syndromes","Tumor Necrosis Factor-alpha","7"
"Structure of central sulcus","Hamartoma Syndrome, Multiple","N-Methylaspartate","7"
"Pituitary Gland","Pituitary Diseases","Insulin-Like Growth Factor I","7"
"Genus Hippocampus","cortex bone disorders","Protein Kinase C","7"
"Cerebral cortex","cortex bone disorders","Brain-Derived Neurotrophic Factor","7"
"Hypothalamic structure","Pituitary Diseases","Growth Hormone","7"
"Neostriatum","cortex bone disorders","Glial Cell Line-Derived Neurotrophic Factor","7"
"Anterodorsal nucleus of thalamus","Parkinson Disease","Amyloid","7"
"BRAIN, HIPPOCAMPUS","Spinal Cord Diseases","Proteins","7"
"Anterodorsal nucleus of thalamus","Alzheimer's Disease","Simvastatin","7"
"Bundle, Predorsal","Alzheimer's Disease","HD protein, human","7"
"Anterodorsal nucleus of thalamus","Alzheimer's Disease","Microtubule-Associated Proteins 1A/1B Light Chain 3","7"
"BRAIN, HIPPOCAMPUS","cortex bone disorders","Synucleins","7"
"Anterodorsal nucleus of thalamus","Parkinson Disease","APP protein, human","7"
"Pituitary Gland","Pituitary Diseases","Peroxidase stain","7"
"Neostriatum","cortex bone disorders","Nerve Growth Factor","7"
"Dorsal Nucleus Raphe","Mood Disorders","Serotonin","7"
"Pituitary Gland","Pituitary Diseases","Androgen Receptor","7"
"Caudate nucleus structure","Hamartoma Syndrome, Multiple","Glial Fibrillary Acidic Protein","7"
"Substantia nigra structure","Parkinson Disease","Transporter, Dopamine","7"
"Pituitary Gland","Pituitary Diseases","Factor, Transcription","7"
"BRAIN, HIPPOCAMPUS","Depressive disorder","Cytokine","7"
"Pituitary Gland","Pituitary Diseases","Peroxidase","7"
"Temporal Lobe","Alzheimer's Disease","Proteins","7"
"Genus Hippocampus","cortex bone disorders","Immunoglobulins","7"
"BRAIN, HIPPOCAMPUS","cortex bone disorders","Aquaporin 4","7"
"BRAIN, HIPPOCAMPUS","Hodgkin Disease","Nerve Growth Factor","7"
"Anterodorsal nucleus of thalamus","Alzheimer's Disease","glutaminyl-peptide cyclotransferase","7"
"Neostriatum","Parkinson Disease","Tyrosine 3-Monooxygenase","7"
"Anterodorsal nucleus of thalamus","Alzheimer's Disease","Calcium","7"
"Median eminence of hypothalamus","Pituitary Diseases","Dopa","7"
"Metencephalon","Autism Spectrum Disorders","Methionine","7"
"Median eminence of hypothalamus","Pituitary Diseases","Corticotropin-Releasing Hormone","7"
"Corpus striatum structure","cortex bone disorders","Somatostatin","7"
"Cerebral cortex","cortex bone disorders","Vasoactive Intestinal Peptide","7"
"Neostriatum","cortex bone disorders","Protein Subunits","7"
"Superior colliculus of corpora quadrigemina","Retinal Diseases","Glial Fibrillary Acidic Protein","7"
"Tectum Mesencephali","Retinal Diseases","Retinaldehyde","7"
"Cerebral cortex","Disorders, Mental","Parvalbumins","7"
"Anterodorsal nucleus of thalamus","Neurodegenerative Disorders","Proteins","7"
"Hypothalamic structure","Pituitary Diseases","Gonadotropins","7"
"Neostriatum","Parkinson Disease","Nerve Growth Factors","7"
"BRAIN, HIPPOCAMPUS","cortex bone disorders","5-Hydroxytryptamine Receptor 1A, human","7"
"BRAIN, HIPPOCAMPUS","Alzheimer's Disease","Enzymes","7"
"BRAIN, HIPPOCAMPUS","Alzheimer's Disease","Insulin","7"
"Bundle, Predorsal","Neurodegenerative Disorders","APP protein, human","7"
"Anterodorsal nucleus of thalamus","Alzheimer's Disease","Arrestins","7"
"BRAIN, HIPPOCAMPUS","cortex bone disorders","Bromodeoxyuridine","7"
