"brainregion","gene","count"
"intercalated amygdalar nuclei","ATP8A2 wt Allele","50"
"Thalamic structure","CAT Gene","49"
"Genus Hippocampus","GRIN2A wt Allele","49"
"BRAIN, HIPPOCAMPUS","EREG wt Allele","49"
"BRAIN, HIPPOCAMPUS","GPHN Gene","49"
"Preoptic Areas","PLOD1 gene","49"
"Entire lateral geniculate body","CAT Gene","49"
"Entire lateral geniculate body","Chloramphenicol Acetyl Transferase Gene","49"
"Entire lateral geniculate body","Chloramphenicol O-Acetyltransferase","49"
"Hypothalamic structure","Wild Type","49"
"Visual Cortex","LITAF gene","49"
"Central nucleus of inferior colliculus","CIC Gene","48"
"Corpus striatum structure","Tumor Necrosis Factor-alpha","48"
"Structure of commissure of inferior colliculus","CIC Gene","48"
"Cerebellum","MAPT wt Allele","48"
"Thalamic structure","Chloramphenicol O-Acetyltransferase","48"
"Posterior Nucleus of Thalamus","PTH Gene","48"
"Cerebral cortex","SOD1 wt Allele","48"
"Cerebral cortex","VIP Gene","48"
"Corpus striatum structure","SCG2 Gene","48"
"Posterior Nucleus of Thalamus","PTH wt Allele","48"
"Pyramidal Cells","CD69 wt Allele","48"
"BRAIN, HIPPOCAMPUS","TLR4 wt Allele","48"
"BRAIN, HIPPOCAMPUS","Exons","48"
"Hypothalamic Area, Lateral","LEP Gene","47"
"BRAIN, HIPPOCAMPUS","APOE gene","47"
"Genus Hippocampus","NES Gene","47"
"Entire Brodmann areas 17 (striate cortex), 18 (parastriate cortex) and 19 (peristriate cortex) of occipital lobe","LITAF gene","47"
"BRAIN, HIPPOCAMPUS","PTEN gene","47"
"Linear nucleus","TH gene","47"
"Entire medulla oblongata","c-fos Genes","47"
"BRAIN, HIPPOCAMPUS","AR wt Allele","47"
"BRAIN, HIPPOCAMPUS","Chloramphenicol O-Acetyltransferase","47"
"BRAIN, HIPPOCAMPUS","NOS2 Gene","47"
"CA1 field","GRIN2B wt Allele","47"
"Hypothalamic structure","ESR1 Gene","47"
"Cerebral cortex","EPHB1 Gene","47"
"Cerebral cortex","AKR1A1 wt Allele","47"
"Genus Hippocampus","ATP8A2 wt Allele","47"
"Pyramidal Cells","MAPT wt Allele","47"
"Structure of olfactory bulb","TH gene","47"
"Structure of terminal stria nuclei of preoptic region","c-fos Genes","47"
"BRAIN, HIPPOCAMPUS","MAPK14 Gene","47"
"Thalamic structure","Chloramphenicol Acetyl Transferase Gene","46"
"Primary Auditory Cortex","CAT Gene","46"
"Purkinje Cells","GRM1 wt Allele","46"
"Neostriatum","GFAP gene","46"
"Genus Hippocampus","EPHB2 Gene","46"
"Primary Auditory Cortex","Chloramphenicol Acetyl Transferase Gene","46"
"Neocortex","MAPT wt Allele","46"
"Genus Hippocampus","MAPK1 wt Allele","46"
"Structure of area postrema","IAPP Gene","46"
"Hypothalamic structure","POMC wt Allele","46"
"Structure of area postrema","IAPP wt Allele","46"
"BRAIN, HIPPOCAMPUS","NOS2 wt Allele","46"
"Hypothalamic Area, Lateral","PRL Gene","46"
"BRAIN, HIPPOCAMPUS","Chloramphenicol Acetyl Transferase Gene","46"
"Basal Nucleus of Meynert","CHAT Gene","46"
"BRAIN, HIPPOCAMPUS","MAPK14 wt Allele","46"
"Primary Auditory Cortex","Chloramphenicol O-Acetyltransferase","46"
"BRAIN, HIPPOCAMPUS","ELANE wt Allele","46"
"Neostriatum","SCG2 Gene","45"
"Structure of thalamic reticular nucleus","Genes","45"
"Gyrus Cinguli","FMR1 gene","45"
"Genus Hippocampus","LEP Gene","45"
"Cerebral cortex","NPY Gene","45"
"Rostrotemporal auditory area","Genes","45"
"BRAIN, HIPPOCAMPUS","C3 Gene","45"
"Genus Hippocampus","CAT Gene","45"
"Corpus striatum structure","GFAP gene","45"
"BRAIN, HIPPOCAMPUS","ELANE Gene","45"
"Structure of supraoptic nucleus","c-fos Genes","45"
"BRAIN, HIPPOCAMPUS","CLU Gene","45"
"Neostriatum","Tumor Necrosis Factor-alpha","45"
"Basal Forebrain","SH2D3C Gene","44"
"BRAIN, HIPPOCAMPUS","RASA1 Gene","44"
"BRAIN, HIPPOCAMPUS","CDKN1A wt Allele","44"
"Inferior Colliculus","FMOD wt Allele","44"
"Structure of medial preoptic nucleus","Estrogen Receptors","44"
"BRAIN, HIPPOCAMPUS","PSME3 wt Allele","44"
"Cerebral cortex","CALCA Gene","44"
"BRAIN, HIPPOCAMPUS","Alleles","44"
"CA1 field","Tumor Necrosis Factor-alpha","44"
"BRAIN, HIPPOCAMPUS","HRAS gene","44"
"BRAIN, HIPPOCAMPUS","GRM5 Gene","44"
"CA1 field","PITX2 wt Allele","44"
"BRAIN, HIPPOCAMPUS","CDKN1A Gene","44"
"Cerebellum","c-fos Genes","44"
"Pituitary Gland","POMC Gene","44"
"Cerebellum","GFAP gene","44"
"Prosencephalon","GNRH1 Gene","44"
"Cerebral cortex","CNR1 gene","44"
"Pyramidal Cells","Long Interspersed Element","44"
"Cerebral cortex","SYP Gene","44"
"Genus Hippocampus","SOD1 wt Allele","44"
"Median eminence of hypothalamus","KISS1 Gene","44"
"BRAIN, HIPPOCAMPUS","IKBKG wt Allele","44"
"Corpus striatum structure","DRD2 Gene","44"
"Basal Forebrain","SH2D3C wt Allele","44"
"Cerebral cortex","FBN1 wt Allele","43"
"Preoptic Areas","Estrogen Receptors","43"
"Prefrontal Cortex","SET Gene","43"
"BRAIN, HIPPOCAMPUS","NR4A3 wt Allele","43"
"BRAIN, HIPPOCAMPUS","PRRT2 wt Allele","43"
"BRAIN, HIPPOCAMPUS","AIMP2 wt Allele","43"
"BRAIN, HIPPOCAMPUS","SH2D3C Gene","43"
"Genus Hippocampus","MTR Gene","43"
"BRAIN, HIPPOCAMPUS","SH2D3C wt Allele","43"
"BRAIN, HIPPOCAMPUS","AKR1A1 wt Allele","43"
"Ventral Tegmental Area","Genes","43"
"Genus Hippocampus","MTR wt Allele","43"
"Neostriatum","Genes, Immediate-Early","43"
"Pituitary Gland","POMC wt Allele","43"
"CA1 field","TNF Gene","43"
"Thalamic structure","SLC6A3 wt Allele","43"
"Prefrontal Cortex","BDNF Gene","43"
"BRAIN, HIPPOCAMPUS","NR4A3 Gene","43"
"Substantia nigra structure","SLC6A3 Gene","43"
"Anterodorsal nucleus of thalamus","Wild Type","43"
"Cerebral cortex","PSEN1 gene","43"
"Genus Hippocampus","Promoter","43"
"BRAIN, HIPPOCAMPUS","AIMP2 Gene","43"
"Structure of suprachiasmatic nucleus","c-fos Genes","42"
"Purkinje Cells","GRM1 Gene","42"
"Pituitary Gland, Posterior","AKT1S1 wt Allele","42"
"Cerebral cortex","VIP wt Allele","42"
"BRAIN, HIPPOCAMPUS","ABCB6 wt Allele","42"
"Cerebral cortex","RPL5 wt Allele","42"
"Cerebellum","SET Gene","42"
"lateral geniculate nucleus","CAT Gene","42"
"Prosencephalon","Long Interspersed Element","42"
"BRAIN, HIPPOCAMPUS","Transgenes","42"
"Thalamic structure","CALCA Gene","42"
"Hypothalamic structure","AKT1S1 wt Allele","42"
"Corpus striatum structure","TNF Gene","42"
"Genus Hippocampus","Genome","42"
"lateral geniculate nucleus","Chloramphenicol Acetyl Transferase Gene","42"
"Genus Hippocampus","SQSTM1 wt Allele","42"
"CA1 field","APP gene","42"
"BRAIN, HIPPOCAMPUS","CDK5R1 wt Allele","42"
"BRAIN, HIPPOCAMPUS","NTF3 Gene","42"
"lateral geniculate nucleus","Chloramphenicol O-Acetyltransferase","42"
"BRAIN, HIPPOCAMPUS","PRNP wt Allele","42"
"BRAIN, HIPPOCAMPUS","POMT1 gene","41"
"Neostriatum","DRD2 Gene","41"
"Structure of nucleus infundibularis hypothalami","Genes","41"
"Structure of terminal stria nuclei of preoptic region","CRH Gene","41"
"Structure of paraventricular nucleus of thalamus","OXT Gene","41"
"Basal Forebrain","TNFRSF1B wt Allele","41"
"Cerebral cortex","Estrogen Receptors","41"
"Nucleus Accumbens","Wild Type","41"
"Basal Forebrain","CUX1 wt Allele","41"
"BRAIN, HIPPOCAMPUS","ERBB4 Gene","41"
"Central insular sulcus","Genes","41"
"Structure of suprachiasmatic nucleus","VIP Gene","41"
"Corpus striatum structure","CD69 wt Allele","41"
"Linear nucleus","CALCA Gene","41"
"Midbrain structure","Long Interspersed Element","41"
"Cerebral cortex","RHOA Gene","41"
"BRAIN, HIPPOCAMPUS","EPHB1 Gene","41"
"Basal Forebrain","PSIP1 Gene","41"
"Neostriatum","CD69 wt Allele","40"
"Linear nucleus","CALCA wt Allele","40"
"Entire medulla oblongata","AGT Gene","40"
"Cerebral cortex","PCYT1A wt Allele","40"
"Interpeduncular nucleus","RRM2 Gene","40"
"BRAIN, HIPPOCAMPUS","CDK5R1 Gene","40"
"Interpeduncular nucleus","RRM1 Gene","40"
"Corpus striatum structure","Genes, Immediate-Early","40"
"Neostriatum","Long Interspersed Element","40"
"Linear nucleus","S100A12 Gene","40"
"Prosencephalon","Wild Type","40"
"Neostriatum","PNP Gene","40"
"Interpeduncular nucleus","CD82 wt Allele","40"
"Genus Hippocampus","BACE1 Gene","40"
"Thalamic structure","CALCA wt Allele","40"
"Genus Hippocampus","SIRT1 Gene","40"
"Genus Hippocampus","RELN Gene","40"
"Cerebral cortex","MPZ gene","40"
"Linear nucleus","S100A12 wt Allele","40"
"Neostriatum","TNF Gene","40"
"Cerebellum","Homozygote","40"
"Cerebral cortex","Genome","40"
"Cerebral cortex","Homozygote","40"
"Telencephalon","Genes","40"
"Structure of dentate gyrus","Wild Type","40"
"Genus Hippocampus","CNR1 gene","40"
"BRAIN, HIPPOCAMPUS","Homozygote","40"
"Neostriatum","NGF Gene","40"
"Cerebral cortex","RANGAP1 wt Allele","40"
"Corpus striatum structure","PNP Gene","40"
"Hypothalamic structure","NPY wt Allele","40"
"Lobe, Frontal","MAPT wt Allele","40"
"Brain Stem","FASTK Gene","40"
"Pituitary Gland","KISS1 Gene","39"
"Cerebral cortex","CDKN2A wt Allele","39"
"Genus Hippocampus","GHRL Gene","39"
"Cerebral cortex","PRF1 wt Allele","39"
"Cerebral hemisphere structure (body structure)","Wild Type","39"
"Cerebral cortex","AR wt Allele","39"
"BRAIN, HIPPOCAMPUS","SDHB wt Allele","39"
"Cerebral cortex","CALCA wt Allele","39"
"BRAIN, HIPPOCAMPUS","YY1 wt Allele","39"
"Neostriatum","PNP wt Allele","39"
"Substantia nigra structure","TNF Gene","39"
"BRAIN, HIPPOCAMPUS","S100A9 wt Allele","39"
"Substantia nigra structure","Tumor Necrosis Factor-alpha","39"
"Corpus striatum structure","PNP wt Allele","39"
"BRAIN, HIPPOCAMPUS","NPY Gene","39"
"Lobe, Frontal","NTRK2 Gene","39"
"Cerebral cortex","PPFIBP1 wt Allele","39"
"Structure of suprachiasmatic nucleus","Genes","39"
"Prosencephalon","GNRH1 wt Allele","39"
"BRAIN, HIPPOCAMPUS","CRH Gene","38"
"Prosencephalon","CHAT Gene","38"
"BRAIN, HIPPOCAMPUS","OXT Gene","38"
"BRAIN, HIPPOCAMPUS","CYP19A1 Gene","38"
"Genus Hippocampus","TH gene","38"
"Entire medulla oblongata","Chloramphenicol Acetyl Transferase Gene","38"
"Corpus Callosum","Wild Type","38"
"Hypothalamic structure","CD36 Gene","38"
"Lobe, Frontal","Genes","38"
"Entire medulla oblongata","CAT Gene","38"
"Purkinje Cells","AKT1S1 wt Allele","38"
"BRAIN, HIPPOCAMPUS","LEPR wt Allele","38"
"Ventral Tegmental Area","SLC6A3 Gene","38"
"BRAIN, HIPPOCAMPUS","BECN1 Gene","38"
"Cerebellum","ENG wt Allele","38"
"BRAIN, HIPPOCAMPUS","H19 Gene","38"
"Pyramidal Cells","GRIN2B wt Allele","38"
"Genus Hippocampus","DLG4 Gene","38"
"Pyramidal Cells","ENG wt Allele","38"
"Structure of medial preoptic nucleus","c-fos Genes","38"
"Ventral Tegmental Area","GHRL Gene","38"
"Entire medulla oblongata","Chloramphenicol O-Acetyltransferase","38"
"Substantia nigra structure","CD69 wt Allele","38"
"Genus Hippocampus","NLRP3 Gene","38"
"BRAIN, HIPPOCAMPUS","ELK3 wt Allele","37"
"Thalamic structure","GFAP gene","37"
"Genus Hippocampus","SQSTM1 Gene","37"
"Corpus striatum structure","MSN Gene","37"
"Corpus striatum structure","Long Interspersed Element","37"
"Genus Hippocampus","KHDRBS1 wt Allele","37"
"Nucleus of optic tract","AVP wt Allele","37"
"Structure of paraventricular nucleus of thalamus","CD55 wt Allele","37"
"Hypothalamic structure","GHRH Gene","37"
"BRAIN, HIPPOCAMPUS","RASA1 wt Allele","37"
"Hypothalamic structure","FAT1 gene","37"
"BRAIN, HIPPOCAMPUS","MAP1LC3A Gene","37"
"BRAIN, HIPPOCAMPUS","HMGB1 Gene","37"
"BRAIN, HIPPOCAMPUS","MAP1LC3A wt Allele","37"
"Structure of rubrospinal tract","GPHN Gene","37"
"BRAIN, HIPPOCAMPUS","DKK1 wt Allele","37"
"Structure of Forel's H2 bundle","CLIC4 wt Allele","37"
"Hypothalamic structure","PRL Gene","37"
"Brain Stem","CHAT Gene","37"
"Corpus striatum structure","NGF Gene","37"
"Cerebral cortex","EPHB2 Gene","37"
"Cerebral cortex","MAPK1 wt Allele","37"
"Preoptic Areas","c-fos Genes","37"
"Cerebral cortex","estrogen receptor alpha, human","37"
"BRAIN, HIPPOCAMPUS","ELK3 Gene","37"
"Nucleus Accumbens","MSN Gene","36"
"Nucleus solitarius","ANG Gene","36"
"Structure of nucleus infundibularis hypothalami","HCRT Gene","36"
"CA2 field","KRIT1 wt Allele","36"
"Purkinje Cells","Long Interspersed Element","36"
"Basal Forebrain","NGFR Gene","36"
"Hypothalamic structure","CD36 wt Allele","36"
"Structure of paraventricular nucleus","c-fos Genes","36"
"BRAIN, HIPPOCAMPUS","Aromatase","36"
"Neostriatum","MSN Gene","36"
"Cerebral cortex","PSEN1 wt Allele","36"
"Cerebral cortex","NR3C2 Gene","36"
"Cerebral cortex","PROC wt Allele","36"
"Structure of entorhinal cortex","MAPT wt Allele","36"
"CA2 field","CALM1 wt Allele","36"
"Genus Hippocampus","MRC1 Gene","36"
"BRAIN, HIPPOCAMPUS","PTGS2 Gene","36"
"Genus Hippocampus","NR3C2 Gene","36"
"Hypothalamic structure","FAT wt Allele","36"
"Genus Hippocampus","NDOR1 wt Allele","36"
"Basal Nucleus of Meynert","BDNF Gene","36"
"Corpus striatum structure","DRD2 wt Allele","36"
"CA1 field","PDZK1 Gene","36"
"Dorsal Nucleus Raphe","HCRT Gene","36"
"Genus Hippocampus","NDOR1 Gene","36"
"CA1 field","PDZK1 wt Allele","36"
"Structure of rubrospinal tract","ATP8A2 wt Allele","35"
"Genus Hippocampus","Genes, Immediate-Early","35"
"Genus Hippocampus","Estrogen Receptors","35"
"Hypothalamic structure","LEPR Gene","35"
"Structure of locus ceruleus","Wild Type","35"
"Amygdaloid structure","HOXA10 wt Allele","35"
"Amygdaloid structure","CRH Gene","35"
"Substantia nigra structure","GFAP gene","35"
"Hindbrain","Genes","35"
"Central insular sulcus","MAPT wt Allele","35"
"BRAIN, HIPPOCAMPUS","CD55 wt Allele","35"
"Genus Hippocampus","Chloramphenicol O-Acetyltransferase","35"
"Purkinje Cells","FASTK Gene","35"
"Prosencephalon","Promoter","35"
"Cerebral cortex","TP53 gene","35"
"Cerebral cortex","AKT1S1 wt Allele","35"
"Genus Hippocampus","NR3C1 Gene","35"
"Cerebral cortex","ESR1 Gene","35"
"Cerebral cortex","GRIN2A wt Allele","35"
"BRAIN, HIPPOCAMPUS","SLC1A2 Gene","35"
"Cerebral cortex","TP53 wt Allele","35"
"Premotor cortex","F5 gene","35"
"Genus Hippocampus","NOS2 Gene","35"
"Genus Hippocampus","Genotype","34"
"Genus Hippocampus","Chloramphenicol Acetyl Transferase Gene","34"
"Cerebellum","FASTK Gene","34"
"CA1 field","BDNF Gene","34"
"Neostriatum","NPY Gene","34"
"CA3 field","c-fos Genes","34"
"Structure of nucleus infundibularis hypothalami","PRL Gene","34"
"Structure of nucleus infundibularis hypothalami","PLOD1 gene","34"
"Thalamic structure","PCYT1A wt Allele","34"
"Medulla Oblongata","ANG Gene","34"
"Median eminence of hypothalamus","CRH Gene","34"
"Genus Hippocampus","JUN Gene","34"
"Planum polare (PP)","MAPT wt Allele","34"
"Genus Hippocampus","NOS2 wt Allele","34"
"BRAIN, HIPPOCAMPUS","FOXD3 wt Allele","34"
"Pyramidal Cells","SET Gene","34"
"Median eminence of hypothalamus","TH gene","34"
"Hypothalamic structure","CD69 wt Allele","34"
"Midbrain structure","MPZ gene","34"
"BRAIN, HIPPOCAMPUS","SILV wt Allele","33"
"Structure of spinothalamic tract of pons","SULT1A1 Gene","33"
"Genus Hippocampus","Exons","33"
"Midbrain structure","SLC6A3 Gene","33"
"Nucleus Accumbens","Genes","33"
"Brain Stem","Wild Type","33"
"BRAIN, HIPPOCAMPUS","VEGFA wt Allele","33"
"BRAIN, HIPPOCAMPUS","VEGFA Gene","33"
"Structure of nucleus infundibularis hypothalami","SST Gene","33"
"Prefrontal Cortex","CD69 wt Allele","33"
"BRAIN, HIPPOCAMPUS","GRM1 Gene","33"
"Cerebral cortex","Retinoic Acid Response Element","33"
"Neostriatum","DRD2 wt Allele","33"
"Purkinje Cells","Promoter","33"
"Cerebellum","Promoter","33"
"Amygdaloid structure","Wild Type","33"
"Structure of medial preoptic nucleus","GNRH1 Gene","33"
"Structure of spinothalamic tract of pons","TRIP10 wt Allele","33"
"Hypothalamic structure","MC4R gene","33"
"Structure of spinothalamic tract of pons","SULT1A1 wt Allele","33"
"BRAIN, HIPPOCAMPUS","RHOA Gene","33"
"BRAIN, HIPPOCAMPUS","MPZ gene","33"
"Structure of paraventricular nucleus of thalamus","CR2 wt Allele","32"
"Amygdaloid structure","CD69 wt Allele","32"
"Ventral Tegmental Area","LEP Gene","32"
"BRAIN, HIPPOCAMPUS","NR3C1 wt Allele","32"
"Medulla Oblongata","CD69 wt Allele","32"
"Medial Septal Nucleus","CHAT Gene","32"
"BRAIN, HIPPOCAMPUS","NEUROD1 Gene","32"
"Structure of suprachiasmatic nucleus","VIP wt Allele","32"
"Cerebral cortex","SATB2 Gene","32"
"Cerebellum","SH3PXD2A wt Allele","32"
"Cerebral cortex","MRC1 Gene","32"
"Ventral Tegmental Area","CNR1 gene","32"
"Structure of nucleus prepositus","MAPT wt Allele","32"
"Genus Hippocampus","IRF6 wt Allele","32"
"BRAIN, HIPPOCAMPUS","HSPA5 Gene","32"
"Cerebral cortex","PROC Gene","32"
"BRAIN, HIPPOCAMPUS","ATG5 Gene","32"
"Hypothalamic structure","Long Interspersed Element","32"
"Pyramidal Cells","LITAF gene","32"
"Corpus striatum structure","ENG wt Allele","32"
"Cerebral cortex","Epidermal Growth Factor","32"
"Structure of nucleus prepositus","Wild Type","32"
"Cerebral cortex","GRM5 wt Allele","32"
"Auditory area","FMOD wt Allele","31"
"Cerebral cortex","MECP2 gene","31"
"CA1 field","Long Interspersed Element","31"
"BRAIN, HIPPOCAMPUS","CR2 wt Allele","31"
"Lactotrophs","PRL Gene","31"
"Genus Hippocampus","GRIN2A Gene","31"
"Cerebral cortex","GRN Gene","31"
"Structure of olfactory bulb","Genes","31"
"Hypothalamic structure","NR5A1 Gene","31"
"Cerebral cortex","PODXL Gene","31"
"Cerebral cortex","KRT17 wt Allele","31"
"Gigantocellular nucleus","APC wt Allele","31"
"Cerebellum","YY1 wt Allele","31"
"Cerebral cortex","Enhancer of transcription","31"
"BRAIN, HIPPOCAMPUS","NOS1 wt Allele","31"
"Nucleus Basalis Magnocellularis","CHAT Gene","31"
"Cerebellum","Transgenes","31"
"BRAIN, HIPPOCAMPUS","FAM49B wt Allele","31"
"Cerebral cortex","PODXL wt Allele","31"
"Substantia nigra structure","MAPT wt Allele","31"
"Cerebral cortex","Alleles","31"
"Cerebral cortex","PIK3CA wt Allele","31"
"Cerebral cortex","TARDBP wt Allele","31"
"Hypothalamic structure","CRH wt Allele","31"
"Prosencephalon","MAPT wt Allele","31"
"Thalamic structure","Long Interspersed Element","31"
"Cerebral cortex","MTR Gene","31"
"Genus Hippocampus","C3 Gene","31"
"Neostriatum","ENG wt Allele","31"
"Structure of inferior central nucleus of pons","CASP1 Gene","31"
"Structure of medial preoptic nucleus","estrogen receptor alpha, human","31"
"Thalamic structure","CD55 wt Allele","30"
"Pituitary Gland","TH gene","30"
"Pituitary Gland","GGH wt Allele","30"
"Hypothalamic structure","STAT3 Gene","30"
"Purkinje Cells","Heterozygote","30"
"Inferior olivary nucleus","BRD4 wt Allele","30"
"CA3 field","SST Gene","30"
"CA2 field","YY1 wt Allele","30"
"Bundle, Predorsal","TPO wt Allele","30"
"Cerebellum","GRM1 Gene","30"
"Cerebral hemisphere structure (body structure)","FGFR1 wt Allele","30"
"Genus Hippocampus","MECP2 gene","30"
"Structure of nucleus infundibularis hypothalami","POMC wt Allele","30"
"Central gray substance of midbrain","Chloramphenicol O-Acetyltransferase","30"
"Genus Hippocampus","TLR4 wt Allele","30"
"Purkinje Cells","DMD gene","30"
"BRAIN, HIPPOCAMPUS","GC Gene","30"
"Cerebral cortex","MECP2 wt Allele","30"
"Pituitary Gland","GH1 Gene","30"
"Inferior olivary nucleus","BRD4 Gene","30"
"BRAIN, HIPPOCAMPUS","FBN1 wt Allele","30"
"Genus Hippocampus","TARDBP wt Allele","30"
"Central gray substance of midbrain","Chloramphenicol Acetyl Transferase Gene","30"
"BRAIN, HIPPOCAMPUS","CX3CL1 Gene","30"
"Central gray substance of midbrain","CAT Gene","30"
"Cerebral cortex","LMNA wt Allele","30"
"BRAIN, HIPPOCAMPUS","PROC wt Allele","30"
"BRAIN, HIPPOCAMPUS","HSPA5 wt Allele","30"
"Pyramidal Cells","DKK1 wt Allele","29"
"BRAIN, HIPPOCAMPUS","STAT3 Gene","29"
"Genus Hippocampus","estrogen receptor alpha, human","29"
"Structure of suprachiasmatic nucleus","AVP wt Allele","29"
"Structure of supraoptic nucleus","AVP Gene","29"
"Bundle, Predorsal","LRRK2 gene","29"
"Cerebral cortex","SQSTM1 wt Allele","29"
"CA1 field","ATP8A2 wt Allele","29"
"Genus Hippocampus","MECP2 wt Allele","29"
"Genus Hippocampus","MAPK8 wt Allele","29"
"Cerebellum","GRM1 wt Allele","29"
"BRAIN, HIPPOCAMPUS","IL12A wt Allele","29"
"Thalamic structure","SCG2 Gene","29"
"Cerebral cortex","GRIN2B Gene","29"
"Substantia nigra structure","ATP8A2 wt Allele","29"
"Pituitary Gland","SH3PXD2A wt Allele","29"
"Nucleus solitarius","EHMT1 Gene","29"
"Structure of paraventricular nucleus of thalamus","Wild Type","29"
"BRAIN, HIPPOCAMPUS","HPSE wt Allele","29"
"Amygdaloid structure","OXT Gene","29"
"Auditory area","Chloramphenicol O-Acetyltransferase","29"
"Cerebral cortex","Transgenes","29"
"Auditory area","Chloramphenicol Acetyl Transferase Gene","29"
"BRAIN, HIPPOCAMPUS","CCL2 Gene","29"
"BRAIN, HIPPOCAMPUS","CLU wt Allele","29"
"BRAIN, HIPPOCAMPUS","APP wt Allele","29"
"Set of basolateral nuclei of amygdala","c-fos Genes","29"
"Structure of area postrema","c-fos Genes","29"
"Genus Hippocampus","RANGAP1 wt Allele","29"
"Genus Hippocampus","TLR4 Gene","29"
"BRAIN, HIPPOCAMPUS","GC wt Allele","29"
"CA1 field","GRIN2B Gene","29"
