"mental","disease","count"
"Repetitious behavior","Neurodevelopmental disorder","23"
"Bradykinesia","Parkinsonian Disorders","23"
"Swimming","Hodgkin Disease","23"
"Hearing impairment","Functional disorder","23"
"Insight","Syndrome","23"
"Methamphetamine","Recurrent disease","23"
"Anxiety","Major Depressive Disorder","23"
"Projection Defense Mechanism","Pituitary Diseases","23"
"Impaired cognition","Psychotic Disorders","23"
"Memory","Post-Traumatic Stress Disorder","23"
"Repetitious behavior","Autistic Disorder","23"
"Like","Brain Diseases","23"
"Stress, Psychological","Disorders, Mental","23"
"Exercise","Disease Progression","23"
"Tremor","Functional disorder","23"
"Bradykinesia","Neurodegenerative Disorders","23"
"Ethanol","Syndrome, Bloch-Sulzberger","23"
"Autistic Disorder","Neurodegenerative Disorders","23"
"Psychological suppression","Disease Progression","23"
"Physical Contact","Spinal Cord Diseases","23"
"Communication Response","Pervasive Development Disorder","23"
"Social Role","Ataxia as late effect of cerebrovascular disease","23"
"Performance","Mild cognitive disorder","22"
"Feedback - evaluative response process","Spinal Cord Diseases","22"
"biological adaptation to stress","Functional disorder","22"
"Sex Behavior","Parkinson Disease","22"
"Behavior","Mixed anxiety and depressive disorder","22"
"Cognition","Brain Diseases","22"
"Coitus","Parkinson Disease","22"
"Impulsive Behavior","Attention Deficit Disorder","22"
"Feedback - system communication","Spinal Cord Diseases","22"
"Like","Sensitization (disorder)","22"
"Gilles de la Tourette syndrome","Down Syndrome","22"
"Like","Dystonia Disorders","22"
"Discussion","Alzheimer's Disease","22"
"Sets (Psychology)","Pervasive Development Disorder","22"
"Suicide","Depressive disorder","22"
"Behavior","Fetal Alcohol Spectrum Disorders","22"
"Visual Fields","cortex bone disorders","22"
"Psychological inhibition","Autism Spectrum Disorders","22"
"Memory impairment","Neurotoxicity Syndromes","22"
"Social Role","Vasodilation disorder","22"
"Social Role","Cerebrovascular Disorders","22"
"Involvement with","Pituitary Diseases","22"
"Communication Response","Autism Spectrum Disorders","22"
"Communication Response","Seasonal Affective Disorder","22"
"Mental association","Motor Neuron Disease","22"
"Communication Response","Huntington Disease","21"
"Happiness","Seasonal Affective Disorder","21"
"Like","Shy-Drager Syndrome","21"
"Body Weight","Pituitary Diseases","21"
"Communication Response","Disorder of pineal gland","21"
"Like","Major Depressive Disorder","21"
"Behavior","Cognition Disorders","21"
"Social Role","Movement Disorders","21"
"Insight","Autism Spectrum Disorders","21"
"Discussion","Functional disorder","21"
"Projection Defense Mechanism","Hamartoma Syndrome, Multiple","21"
"Psychological inhibition","Migraine Disorders","21"
"Mood","Bipolar Disorder","21"
"Mental association","neuropathology disease","21"
"Wakefulness","cortex bone disorders","21"
"Impaired cognition","Bipolar Disorder","21"
"Psychological Transfer","Disease Progression","21"
"Communication Response","Migraine Disorders","21"
"Sleep","Alzheimer's Disease","21"
"Mood","Mood Disorders","21"
"Emotions","Mood Disorders","21"
"Drug Tolerance","Sensitization (disorder)","21"
"Unipolar Depression","Anxiety Disorders","21"
"Cocaine","Neurotoxicity Syndromes","21"
"Factors, Risk","Autistic Disorder","21"
"Like","Ataxia as late effect of cerebrovascular disease","21"
"Psychological inhibition","Syndrome, Bloch-Sulzberger","21"
"Communication Response","Peripheral Arterial Diseases","21"
"DEPRESSION MENTAL","Pituitary Diseases","21"
"Pica Disease","Pica Disease","21"
"Vision","DISORDERS OF THE OPTIC NERVE","21"
"Hyperactive behavior","Psychotic Disorders","21"
"Exercise","cortex bone disorders","21"
"Social Role","Shy-Drager Syndrome","21"
"Autistic Disorder","Developmental delay (disorder)","20"
"Social Interaction","Neurodevelopmental disorder","20"
"Social Behavior","Autism Spectrum Disorders","20"
"Interested","Autism Spectrum Disorders","20"
"Insight","Retinal Diseases","20"
"Anxiety","Autistic Disorder","20"
"Involvement with","Parkinsonian Disorders","20"
"Obsessive-Compulsive Personality","Obsessive-Compulsive Disorder","20"
"Mood Disorders","Disorders, Mental","20"
"Absence of pain sensation","Spinal Cord Diseases","20"
"Factors, Risk","Cardiovascular Diseases","20"
"DEPRESSION MENTAL","Post-Traumatic Stress Disorder","20"
"Mental association","Spinal Cord Diseases","20"
"Learning","Hamartoma Syndrome, Multiple","20"
"DEPRESSION MENTAL","Autism Spectrum Disorders","20"
"Unipolar Depression","Alzheimer's Disease","20"
"Habituation, Psychophysiologic","Sensitization (disorder)","20"
"Coitus","Functional disorder","20"
"Hearing","Diseases of inner ear","20"
"Involvement with","Migraine Disorders","20"
"Memory","Parkinson Disease","20"
"Involvement with","Shy-Drager Syndrome","20"
"Period, Critical (Psychology)","cortex bone disorders","20"
"Interested","Disorders, Mental","20"
"Memory","Cognition Disorders","20"
"Play","cortex bone disorders","20"
"Hyperactive behavior","Disorders, Mental","20"
"Memory","Autistic Disorder","20"
"Communication Response","Autistic Disorder","20"
"smell perception","Kallmann Syndrome","20"
"Psychological suppression","Neurotoxicity Syndromes","20"
"Methamphetamine","Functional disorder","20"
"Psychological habituation","Sensitization (disorder)","20"
"Memory","Disease Progression","20"
"Tremor","Movement Disorders","20"
"Social Role","Lung diseases","20"
"Behavioral change","Depressive disorder","20"
"Seizures","neuropathology disease","20"
"Impaired cognition","Lewy Body Disease","19"
"Ethanol","Pituitary Diseases","19"
"competition","cortex bone disorders","19"
"Hyperactive behavior","Autism Spectrum Disorders","19"
"Sets (Psychology)","Spinal Cord Diseases","19"
"Abnormal behavior","Mood Disorders","19"
"Behavior","Dyskinetic syndrome","19"
"Mood Disorders","Neurodegenerative Disorders","19"
"Like","Van der Woude syndrome","19"
"Mental association","Neurotoxicity Syndromes","19"
"Like","Mixed anxiety and depressive disorder","19"
"Craving","Recurrent disease","19"
"Insight","Spinal Cord Diseases","19"
"Impaired cognition","Sequela of disorder","19"
"Emotions","Pervasive Development Disorder","19"
"Involvement with","Lewy Body Disease","19"
"Communication Response","Adult Fanconi syndrome","19"
"Learning","Neurodegenerative Disorders","19"
"Social Role","Sudden infant death syndrome","19"
"Body Weight","Depressive disorder","19"
"Cognition","neuropathology disease","19"
"Exercise","Neurodegenerative Disorders","19"
"Hyperactive behavior","Autistic Disorder","19"
"Hyperactive behavior","Syndrome","19"
"Memory, Short-Term","Alzheimer's Disease","19"
"Periodontal Diseases","Periodontal Diseases","19"
"Memory impairment","Disease Progression","19"
"Behavior","Van der Woude syndrome","19"
"Memory","Syndrome","19"
"Uncertainty","Functional disorder","19"
"Body Weight","Functional disorder","19"
"Behavior","Ataxia as late effect of cerebrovascular disease","19"
"Comprehension","Retinal Diseases","19"
"Mental Retardation","Ataxia as late effect of cerebrovascular disease","19"
"Pain","Phantom limb syndrome","19"
"Withdrawal","Sensitization (disorder)","19"
"Stress, Psychological","Depressive disorder","19"
"Conscious","cortex bone disorders","19"
"Depressed mood","Major Depressive Disorder","19"
"Addictive Behavior","Attention deficit hyperactivity disorder","19"
"Stereotyped Behavior","Autism Spectrum Disorders","19"
"Psychological suppression","Alzheimer's Disease","19"
"Gilles de la Tourette syndrome","Obsessive-Compulsive Disorder","19"
"Memory, Short-Term","Depressive disorder","18"
"Social Behavior","Autistic Disorder","18"
"Attention","Neurotoxicity Syndromes","18"
"Addictive Behavior","Mood Disorders","18"
"Methamphetamine","Syndrome, Bloch-Sulzberger","18"
"Ethanol","Liver diseases","18"
"Discussion","Parkinson Disease","18"
"Psychological inhibition","Renal glomerular disease","18"
"Impaired cognition","Attention deficit hyperactivity disorder","18"
"psychological orientation","Retinal Diseases","18"
"smell perception","Spinal Cord Diseases","18"
"Psychological inhibition","Niemann-Pick Disease, Type C","18"
"Impaired cognition","Delirium, Dementia, Amnestic, Cognitive Disorders","18"
"Social Behavior","Functional disorder","18"
"Mental association","Hypertensive disease","18"
"Stress","Syndrome","18"
"Visual learning","cortex bone disorders","18"
"Anxiety","Alzheimer's Disease","18"
"Psychological inhibition","Huntington Disease","18"
"Withdrawal","cortex bone disorders","18"
"Learning","Parkinson Disease","18"
"Involvement with","Hypertensive disease","18"
"Anxiety","Post-Traumatic Stress Disorder","18"
"Mood Disorders","Bipolar Disorder","18"
"Interested","Neurodevelopmental disorder","18"
"Suicide","Major Depressive Disorder","18"
"Comprehension","CNS disorder","18"
"Behavioral change","Alzheimer's Disease","18"
"Social Role","Communicable Diseases","18"
"Mood","Disorders, Mental","18"
"Behavior","Syndrome, Bloch-Sulzberger","18"
"Autistic Disorder","Down Syndrome","18"
"Social Role","Metabolic Syndrome X","18"
"Anxiety","Pervasive Development Disorder","18"
"Mental association","Lewy Body Disease","18"
"Impaired cognition","Pervasive Development Disorder","17"
"Factors, Risk","Metabolic Syndrome X","17"
"Mood","Major Depressive Disorder","17"
"Involvement with","Attention deficit hyperactivity disorder","17"
"Insight","neuropathology disease","17"
"Involvement with","Liver diseases","17"
"Behavior","Niemann-Pick Disease, Type C","17"
"Emotions","Stress Disorders, Traumatic","17"
"Availability of","Spinal Cord Diseases","17"
"Anxiety","Obsessive-Compulsive Disorder","17"
"Communication","Spinal Cord Diseases","17"
"Emotions","Alzheimer's Disease","17"
"Social Interaction","Depressive disorder","17"
"Social Role","Inflammatory disorder","17"
"Psychological inhibition","Recurrent disease","17"
"Comprehension","Migraine Disorders","17"
"Anxiety","Pituitary Diseases","17"
"Performance","Spinal Cord Diseases","17"
"Gilles de la Tourette syndrome","Tic disorder","17"
"Impaired cognition","Hypertensive disease","17"
"Speech and language disorder","Speech and language disorder","17"
"Mental concentration","Disorder nervous system","17"
"Psychological inhibition","Rett Syndrome","17"
"Social Role","Gilles de la Tourette syndrome","17"
"Factors, Risk","Cerebrovascular Disorders","17"
"Like","Dyskinetic syndrome","17"
"Social Role","Motor Neuron Disease","17"
"Abnormal behavior","Disease Progression","17"
"Cocaine","Functional disorder","17"
"Hyperactive behavior","Pituitary Diseases","17"
"Communication Response","Niemann-Pick Disease, Type C","17"
"Conditionings (Psychology)","Sensitization (disorder)","17"
"Tremor","Dystonia Disorders","17"
"Bradykinesia","Movement Disorders","17"
"Emotional Strain","Cyclical vomiting syndrome (disorder)","17"
"Like","Anxiety Disorders","17"
"Uncertainty","Parkinson Disease","17"
"DEPRESSION MENTAL","Sleep Disorders","17"
"Interested","cortex bone disorders","17"
"Attribution","Functional disorder","17"
"Touch sensation","cortex bone disorders","17"
"Sex Behavior","Pervasive Development Disorder","17"
"Social Role","DISORDERS OF THE OPTIC NERVE","17"
"Feeling content","cortex bone disorders","17"
"Abnormal behavior","Disorder nervous system","17"
"Interested","Pervasive Development Disorder","17"
"Initiative","Mild cognitive disorder","17"
"Intrinsic drive","Functional disorder","17"
"Social Role","Polycystic Ovary Syndrome","17"
"Behavior","Renal glomerular disease","17"
"Spatial Memory","Functional disorder","17"
"Behavior","Mucocutaneous Lymph Node Syndrome","17"
"DEPRESSION MENTAL","Obsessive-Compulsive Disorder","17"
"Like","Liver diseases","17"
"Psychological inhibition","Syndrome","17"
"Tic disorder","Gilles de la Tourette syndrome","17"
"Behavior","Rett Syndrome","17"
"Like","Virus Diseases","16"
"Projection Defense Mechanism","Neurodegenerative Disorders","16"
"Mental association","Autism Spectrum Disorders","16"
"Availability of","Syndrome","16"
"Sets (Psychology)","Parkinson Disease","16"
"Inattention","Attention deficit hyperactivity disorder","16"
"Anxiety","Autism Spectrum Disorders","16"
"Psychological suppression","Pituitary Diseases","16"
"Visual learning","Functional disorder","16"
"Interested","Disease Progression","16"
"Cognition","Neurotoxicity Syndromes","16"
"Victim of abuse (finding)","Neurotoxicity Syndromes","16"
"Social Role","Meningeal disorder","16"
"Comprehension","Hypertensive disease","16"
"Gilles de la Tourette syndrome","Functional disorder","16"
"Involvement with","Sensitization (disorder)","16"
"Abnormal behavior","Huntington Disease","16"
"Cognitive information processing","Functional disorder","16"
"Psychological suppression","Parkinson Disease","16"
"Involvement with","CNS disorder","16"
"Like","Obsessive-Compulsive Disorder","16"
"Play","Disorders, Mental","16"
"Social Role","Feline urological syndrome","16"
"DEPRESSION MENTAL","Spinal Cord Diseases","16"
"Physical activity","Functional disorder","16"
"Communication Response","Virus Diseases","16"
"Psychological Transfer","Parkinson Disease","16"
"Abnormal behavior","Attention Deficit Disorder","16"
"Communication Response","Leigh Disease","16"
"Mental association","Parkinsonian Disorders","16"
"Sleep","Neurodegenerative Disorders","16"
"Factors, Risk","Disorder nervous system","16"
"Hyperactive behavior","Neurodevelopmental disorder","16"
"Communication Response","neuropathology disease","16"
"Mental association","Psychotic Disorders","16"
"Sleep","Disease Progression","16"
"Stress","Psychotic Disorders","16"
"Autistic Disorder","Hereditary Diseases","16"
"Fasting","Spinal Cord Diseases","16"
"Coitus","Pervasive Development Disorder","16"
"Communication Response","Liver diseases","16"
"Swimming","Spinal Cord Diseases","16"
"Memory impairment","Down Syndrome","16"
"Heroin","Recurrent disease","16"
"Sensory Deprivation","cortex bone disorders","16"
"Intrinsic drive","Hypertensive disease","16"
"Feeding Activity","Depressive disorder","16"
"Sex Behavior","Autism Spectrum Disorders","16"
"Anxiety","Neurodegenerative Disorders","16"
"Success","Spinal Cord Diseases","16"
